"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"British&Anglo Lit 1750-Present","216
001","","162","3.371","30.9","33.3","22.8","6.2","3.1","0.6","1.2","1.2",".",".",".",".",".",".",".","0.6"
"American Literature","217
001","","142","3.437","32.4","42.3","19.0","2.8","0.7","0.7","2.1",".",".",".",".",".",".",".",".","."
"Shakespearean Drama","219
001","","160","3.157","20.0","30.6","26.3","11.3","6.3","1.3","1.9",".",".",".",".",".",".",".","2.5","."
"V Nabokov: Russ&Amer Writng","223
001","","25","3.761","60.0","24.0","4.0","4.0",".",".",".",".",".",".",".",".",".","8.0",".","."
"Bascom Course","236
001","","16","3.433","50.0","18.8","18.8",".",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"Literature by Amer Ind Women","246
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248
001","","19","3.737","78.9","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Women in Literature","250
001","","16","3.500","37.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","","19","3.778","68.4","15.8","5.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","300
002","","20","3.947","85.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"","300
003","","15","3.533","53.3","26.7","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","","54","3.769","70.4","16.7","3.7","1.9","3.7",".",".","1.9",".",".",".",".",".",".",".","1.9"
"","301
001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","","15","3.533","66.7","20.0",".","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","301
005","","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","Course Total","","70","3.743","74.3","18.6","2.9","1.4",".",".","2.9",".",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","302
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303
001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Poetry Workshop","305
001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","15","3.533","66.7","6.7","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","307
002","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","","12","3.818","58.3","33.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","Course Total","","38","3.730","68.4","18.4","5.3","2.6",".","2.6",".","2.6",".",".",".",".",".",".",".","."
"Composition-English Tchrs","309
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Smr-Writng Across Curriculm","Course Total","","28","3.926","82.1","14.3",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Writing for the Marketplace","317
001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old English","320
001","","15","3.536","53.3","20.0","13.3",".",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"","324
001","","27","3.407","37.0","25.9","22.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","18","3.500","27.8","44.4","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","Course Total","","45","3.444","33.3","33.3","24.4","6.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"","326
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","326
002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","Course Total","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
005","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","Course Total","","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"English Phonology","330
001","","34","3.412","23.5","38.2","35.3","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 204 of 402",""
