"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"289","041","","23","3.826","78.3","8.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"289","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"289","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","28","3.875","82.1","7.1","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","28","3.964","92.9",".","3.6",".",".",".",".",".",".",".",".",".",".",".","3.6","."
"501
Introduction-Biochemistry","001","","438","3.081","25.8","10.7","35.2","10.3","15.8","1.1",".","0.2",".",".",".",".","0.9",".",".","."
"507
General Biochemistry I","001","","236","3.287","41.1","16.9","17.4","6.8","13.6","0.4","1.3",".",".",".",".",".","2.1",".",".","0.4"
"510
Biochm Prin-Human&Anml Nutr","001","","13","3.192","46.2","23.1","7.7",".","7.7","15.4",".",".",".",".",".",".",".",".",".","."
"511
Undergraduate Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Protein&Enzyme Struct&Funct","001","","66","3.439","30.3","42.4","22.7",".","3.0",".","1.5",".",".",".",".",".",".",".",".","."
"606
Math Mthds-Structural Biology","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","33","3.250","21.2","30.3","30.3","6.1","9.1",".",".",".",".",".",".",".","3.0",".",".","."
"624
Mechanisms of Enzyme Action","001","","12","3.727","58.3","16.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"630
Cellulr Signal Transductn Mech","001","","53","3.375","28.3","20.8","47.2",".","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"651
Biochemical Methods","001","","69","3.406","46.4","20.3","20.3",".","10.1","2.9",".",".",".",".",".",".",".",".",".","."
"660
Methods in Biochemistry","001","","28","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","9","3.438","33.3","11.1","44.4",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","059","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"681","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","14","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"682
Senior Honors Thesis","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","","Page 13 of 402"
