"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"SOC WORK
896","Dept. Total","1741","3.700","61.5","22.5","8.8","2.8","0.7","0.2","0.3","0.8","",".",".",".","0.2","1.8",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","3.125","33.3",".","33.3","33.3",".",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","99","3.335","39.4","20.2","23.2","9.1","4.0","1.0","1.0",".","",".",".",".",".","2.0",".",".","."
"Junior","","223","3.524","50.2","21.5","16.1","5.8","1.8","0.9","0.4",".","",".",".",".",".","3.1",".",".","."
"Senior","","362","3.680","60.8","23.8","8.8","3.6","0.8",".","1.1",".","",".",".",".",".","1.1",".",".","."
"Undergraduates","","687","3.571","54.1","22.4","13.4","5.2","1.6","0.4","0.9",".","",".",".",".",".","1.9",".",".","."
"Special","","21","3.603","66.7",".","19.0","4.8","4.8",".",".","4.8","",".",".",".",".",".",".",".","."
"Graduate","","1029","3.817","66.0","23.0","5.5","1.1","0.1",".",".","1.3","",".",".","0.2","0.4","1.7",".","0.7","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".",".","",".",".",".",".","100.0",".",".","."
"Professionals","","6","4.000","83.3",".",".",".",".",".",".",".","",".",".",".",".","16.7",".",".","."
"","Dept. Total","1743","3.700","61.4","22.4","8.8","2.8","0.7","0.2","0.3","0.8","",".",".","0.1","0.2","1.8",".","0.4","."
