"CHEMICAL & BIOLOGICAL ENGR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","15","4.000","73.3",".",".",".",".",".",".",".",".",".",".",".","26.7",".",".","."
"","250","001","","37","2.797","13.5","18.9","24.3","16.2","18.9","8.1",".",".",".",".",".",".",".",".",".","."
"","250","002","","39","3.128","23.1","15.4","48.7",".","7.7","5.1",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","","Course Total","","76","2.967","18.4","17.1","36.8","7.9","13.2","6.6",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","46","3.228","21.7","32.6","23.9","17.4","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","51","2.980","21.6","25.5","17.6","13.7","13.7","7.8",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","64","2.906","18.8","15.6","32.8","9.4","18.8","1.6","3.1",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","78","2.833","20.5","16.7","20.5","11.5","24.4","3.8","2.6",".",".",".",".",".",".",".",".","."
"","324","001","","11","3.273","18.2","36.4","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","12","3.292","16.7","41.7","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","13","3.423","38.5","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","12","3.292","16.7","25.0","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","48","3.323","22.9","29.2","39.6","6.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","39","2.808","20.5","12.8","25.6","15.4","12.8","12.8",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","41","2.878","24.4","9.8","22.0","14.6","24.4","4.9",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","42","2.964","21.4","19.0","19.0","21.4","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","48","3.042","20.8","18.8","31.3","14.6","10.4","4.2",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","45","3.056","22.2","20.0","26.7","17.8","8.9","4.4",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","40","2.962","22.5","17.5","17.5","20.0","15.0","5.0",".",".",".",".",".",".","2.5",".",".","."
"Honors in Research","489","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Tissue Engineering","510","001","","6","3.333","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stem Cell Bioengineering","520","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Macromolecular Hydrodynamics","525","001","","10","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plastics & High Polymer Lab","541","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547","001","","33","3.403","27.3","33.3","30.3",".",".","3.0",".","6.1",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomolecular Engr Lab","561","001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","15","2.567","6.7","13.3","20.0","33.3","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"","599","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
