"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","82","3.762","63.4","28.0","7.3",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"542
Veterinary Ophthalmology","001","","77","3.779","61.0","33.8","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","12","3.042","8.3","41.7","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","77","3.247","26.0","18.2","41.6","7.8","6.5",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","75","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"642
Large Animal Surgery","001","","34","4.000","32.4",".",".",".",".",".",".","52.9",".",".",".",".",".",".","14.7","."
"644
Small Orthopedic Surgery","001","","17","4.000","23.5",".",".",".",".",".",".","76.5",".",".",".",".",".",".",".","."
"645","001","","39","4.000","41.0",".",".",".",".",".",".","56.4",".",".",".",".",".",".","2.6","."
"645","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","40","4.000","42.5",".",".",".",".",".",".","55.0",".",".",".",".",".",".","2.5","."
"646
Veterinary Anesthesiology","001","","29","4.000","72.4",".",".",".",".",".",".","24.1",".",".",".",".",".",".","3.4","."
"647
Radiology Clinics","001","","30","4.000","6.7",".",".",".",".",".",".","93.3",".",".",".",".",".",".",".","."
"675","001","","16","4.000","18.8",".",".",".",".",".",".","68.8",".",".",".",".",".",".","12.5","."
"675","003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","37","4.000","8.1",".",".",".",".",".",".","86.5",".",".",".",".",".",".","5.4","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","4.000","61.5",".",".",".",".",".",".","15.4",".",".",".",".",".",".","23.1","."
"741
Clinical Ophthalm Rotation","001","","22","4.000","81.8",".",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","13","4.000","23.1",".",".",".",".",".",".","76.9",".",".",".",".",".",".",".","."
"775","001","","25","",".",".",".",".",".",".",".","84.0",".",".",".",".",".",".","16.0","."
"775","002","","21","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".","14.3","."
"775","003","","10","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".","20.0","."
"775","004","","6","",".",".",".",".",".",".",".","50.0",".",".",".",".",".",".","50.0","."
"Externship","Course Total","","62","",".",".",".",".",".",".",".","80.6",".",".",".",".",".",".","19.4","."
"812
Rsch Ethics&Career Development","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
