"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","Course Total","","88","3.695","65.9","15.9","9.1","1.1","4.5",".",".","1.1",".",".",".",".","2.3",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","220","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","","3","***","","","","","","","","","","","","","","","",""
"971
Seminar-Marketing PhD","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990
PhD Thesis-Marketing","138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","107","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","155","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","160","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","161","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","","12","3.953","58.3","8.3",".",".",".",".",".","16.7",".",".",".","8.3",".",".","8.3","."
