"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","374","3.395","44.1","22.7","15.5","8.8","4.5","1.9","1.3","0.5",".",".",".",".","0.5",".",".","."
"","140
001","18","3.559","61.1","5.6","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","5.6"
"","140
002","14","3.607","85.7",".",".","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Voice Training","Course Total","32","3.581","71.9","3.1","6.3","9.4","3.1",".","3.1",".",".",".",".",".",".",".",".","3.1"
"","150
001","16","3.719","75.0","6.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","150
002","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","150
004","14","3.321","21.4","50.0","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","17","3.706","76.5","11.8",".",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","150
010","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","114","3.750","71.1","18.4","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","20","3.132","30.0","25.0","20.0",".","15.0",".","5.0",".",".",".",".",".",".","5.0",".","."
"","161
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","8","3.438","75.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","11","3.545","72.7","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","162
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","21","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Theatre&Drama","219
001","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"History-Theatrical Production","224
001","43","2.936","23.3","16.3","14.0","18.6","11.6","4.7","2.3","4.7",".",".",".",".","2.3",".","2.3","."
"Intermediate Voice Training","240
001","19","3.553","47.4","26.3","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","250
001","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Costumes Technol","263
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
040","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting Realism","350
001","13","3.385","15.4","69.2",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","19","3.579","15.8","84.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","54","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","8","3.667","62.5",".",".",".",".","12.5",".",".",".",".",".",".","25.0",".",".","."
"","362
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","44","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","14","3.614","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","6","3.889","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","002
366","7","3.396","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","13","3.607","53.8","15.4","15.4",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
