"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"The Ancient Mediterranean","110
001","62","3.262","30.6","29.0","22.6","9.7","1.6","1.6","3.2","1.6",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300
001","12","2.792","25.0","25.0","8.3","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"Civilizat of Ancient Greece","320
001","122","3.504","39.3","43.4","9.8","3.3","0.8","1.6","1.6",".",".",".",".",".",".",".",".","."
"Topics-Classical Archaeology","430
001","86","3.696","64.0","11.6","10.5","2.3","2.3","1.2",".","5.8",".",".",".",".",".","2.3",".","."
"Religion-Ancient Mediterranean","517
001","47","3.415","44.7","23.4","14.9","12.8","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Literature of Ancient Rome","556
001","68","3.246","33.8","32.4","14.7","4.4","4.4","7.4","1.5",".",".",".",".",".","1.5",".",".","."
"Greek & Roman Med & Phcy","561
001","18","3.281","38.9","5.6","33.3",".","5.6","5.6",".","5.6",".",".",".",".","5.6",".",".","."
"The Ancient Mediterranean City","602
001","7","3.800","57.1",".","14.3",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"Seminar-Ancient History","801
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","425","3.421","42.6","28.2","14.1","5.4","2.4","2.6","1.6","1.9",".",".",".",".","0.7","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.437","32.0","36.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","81","3.522","37.0","35.8","19.8","3.7","2.5",".",".",".",".",".",".",".",".","1.2",".","."
"Junior","","114","3.438","47.4","23.7","14.0","4.4","2.6","3.5","0.9","0.9",".",".",".",".","1.8","0.9",".","."
"Senior","","194","3.354","44.3","27.3","11.9","6.2","2.6","3.6","3.1","0.5",".",".",".",".","0.5",".",".","."
"Undergraduates","","414","3.416","43.0","28.5","14.5","5.6","2.4","2.7","1.7","0.5",".",".",".",".","0.7","0.5",".","."
"Special","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Graduate","","5","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","425","3.421","42.6","28.2","14.1","5.4","2.4","2.6","1.6","1.9",".",".",".",".","0.7","0.5",".","."
