"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","",""
"","300
001","37","3.973","94.6","5.4",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","300
002","39","3.974","94.9","5.1",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Actuarial Science Methods I","Course Total","76","3.974","94.7","5.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Actuarial Science Methods II","301
001","36","3.861","86.1","5.6","5.6",".","2.8",".",".",".","",".","",".",".","",".","",".",".",".","."
"Theory-Interst & Life Insur","303
001","38","3.039","26.3","21.1","21.1","13.2","10.5","7.9",".",".","",".","",".",".","",".","",".",".",".","."
"","650
001","62","3.148","24.2","27.4","27.4","8.1","4.8","4.8","1.6",".","",".","",".",".","",".","","1.6",".",".","."
"","650
002","34","3.324","38.2","23.5","20.6","11.8",".","5.9",".",".","",".","",".",".","",".","",".",".",".","."
"Actuarial Mathematics I","Course Total","96","3.211","29.2","26.0","25.0","9.4","3.1","5.2","1.0","",".","",".",".","",".","",".","1.0",".",".","."
"Loss Models I","652
001","67","3.366","26.9","29.9","34.3","7.5","1.5",".",".",".","",".","",".",".","",".","",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","20","3.675","60.0","15.0","25.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"ACT SCI
242","Dept. Total","333","3.367","51.4","18.6","18.6","5.7","2.7","2.4","0.3","",".","",".",".","",".","",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","69","3.525","76.8","8.7","5.8","5.8","2.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","120","3.381","58.3","11.7","21.7","3.3","0.8","4.2",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","129","3.306","32.6","31.0","19.4","8.5","4.7","2.3","0.8","",".","",".",".","",".","",".","0.8",".",".","."
"Undergraduates","","318","3.363","51.9","18.9","17.3","6.0","2.8","2.5","0.3","",".","",".",".","",".","",".","0.3",".",".","."
"Special","","2","3.250","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","13","3.462","38.5","15.4","46.2",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","333","3.367","51.4","18.6","18.6","5.7","2.7","2.4","0.3","",".","",".",".","",".","",".","0.3",".",".","."
