"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","19","3.632","57.9","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","19","3.763","78.9","5.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","29","3.593","62.1","6.9","13.8",".","10.3",".",".",".",".",".",".",".","6.9",".",".","."
"300","002","","26","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","27","3.635","33.3","55.6","7.4",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"School and Society","Course Total","","82","3.576","40.2","37.8","14.6",".","3.7",".",".",".",".",".",".",".","2.4","1.2",".","."
"399
Independent Reading","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","69","3.213","11.6","44.9","34.8","2.9",".","1.4","2.9",".",".",".",".",".","1.4",".",".","."
"505
Issues in Urban Education","001","","32","3.656","56.3","21.9","18.8","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"545
Philos Concepts-Tch&Learng","001","","24","3.522","41.7","33.3","12.5",".","8.3",".",".",".",".",".",".",".","4.2",".",".","."
"622
Hist-Rad&Expermntl Ed in US&UK","001","","13","3.250","38.5","15.4","7.7","15.4","15.4",".",".",".",".",".",".",".","7.7",".",".","."
"648
Sociology of Education","001","","18","3.750","72.2","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"675
Intro to Comparitv & Intl Educ","001","","12","3.409","25.0","41.7","16.7",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"719
Intro to Qualitative Research","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"780","002","","15","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","13.3","6.7",".","."
"780","003","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","004","","12","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Educ Policy","Course Total","","42","3.579","47.6","9.5","33.3",".",".",".",".",".",".",".",".",".","7.1","2.4",".","."
"855
Issues-Elementary Education","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"906
Prosem-History of Education","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","23","",".",".",".",".",".",".",".","47.8",".",".",".","52.2",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
