"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Stdt Tchg-Kindergarten","465
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","466
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","466
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","Course Total","9","",".",".",".",".",".",".",".",".",".","88.9",".",".",".",".",".","."
"","467
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","467
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","9","",".",".",".",".",".",".",".",".",".","88.9",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","8","",".",".",".",".",".",".",".",".",".","87.5",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Literacy & Language Developmnt","500
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","66","3.833","69.7","27.3","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"","506
002","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
005","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","114","3.978","94.7","4.4",".",".",".",".",".",".",".",".",".",".",".","0.9",".","."
"Adv Pract-Teach Soc Studies","559
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Human Sexuality","561
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Iss, Mtls & Mthds-Hlth Educ","567
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Instructn w/Technol","600
001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Seminar on Literacy","604
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Literature and Literacy","632
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg: Ratios & Proportions","637
001","15","3.400","26.7","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","660
001","21","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","Course Total","37","3.838","67.6","32.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Methods in Teaching ESL","674
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
