"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshman Topics Seminar","100","001","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","103","001","494","2.996","15.2","23.7","27.7","16.8","11.7","3.6",".",".",".",".",".",".","1.0","0.2",".","."
"Intro-Amer Politcs&Governmt","104","001","418","2.800","15.8","17.2","19.9","19.9","18.9","6.2","1.0","0.5",".",".",".",".","0.5","0.2",".","."
"Intro-Comparative Politics","106","001","258","2.973","15.1","24.4","30.2","12.8","12.4","3.9","1.2",".",".",".",".",".",".",".",".","."
"Intro to American Politics","184","001","19","3.526","42.1","21.1","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to State Government","205","001","45","2.932","15.6","20.0","22.2","24.4","11.1","4.4",".","2.2",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","346","3.255","17.9","36.1","30.6","9.2","2.3","1.2","0.6","0.9",".",".",".",".","0.3",".","0.9","."
"Law, Politics and Society","217","001","38","3.316","18.4","50.0","15.8","7.9","7.9",".",".",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","218","001","54","2.925","18.5","14.8","35.2","11.1","13.0","1.9","3.7","1.9",".",".",".",".",".",".",".","."
"Intro to Public Policy","219","001","81","3.191","23.5","27.2","30.9","11.1","4.9",".","2.5",".",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","20","3.763","65.0","15.0","15.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"SE Asia:Vietnam to Philipns","244","001","19","3.278","21.1","42.1","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".","5.3","."
"Civs of India-Modern Period","252","001","27","3.520","44.4","33.3","3.7","3.7","3.7","3.7",".",".",".",".",".",".","3.7","3.7",".","."
"Intro to Political Psych","267","001","46","3.891","84.8","10.9","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Political Choice and Strategy","274","001","69","2.877","13.0","21.7","33.3","11.6","13.0","4.3","2.9",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","41","2.976","17.1","9.8","41.5","19.5","9.8","2.4",".",".",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","141","3.688","59.6","20.6","17.7","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-International Law","316","001","211","3.412","37.9","24.6","27.5","5.2","2.4","1.4","0.5","0.5",".",".",".",".",".",".",".","."
"Third Wrld in Internatl Sys","353","001","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Amer Foreign Policy","359","001","29","3.196","20.7","41.4","20.7","3.4","3.4","3.4","3.4",".",".",".",".",".","3.4",".",".","."
"African Intl Relations","362","001","94","2.882","12.8","14.9","25.5","36.2","7.4",".","2.1","1.1",".",".",".",".",".",".",".","."
"Nuclear Weapons&World Poltc","377","001","68","3.179","20.6","30.9","23.5","10.3","13.2",".",".","1.5",".",".",".",".",".",".",".","."
