"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","20","3.725","85.0","5.0",".",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","100
003","","18","3.222","55.6","5.6","5.6","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"","100
004","","19","3.711","68.4","15.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","005
100","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","96","3.672","70.8","14.6","5.2","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"","111
001","","19","3.632","57.9","15.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","","21","3.857","95.2",".",".",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","Course Total","","40","3.750","77.5","7.5","10.0","2.5",".","2.5",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","299
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.917","50.0","16.7",".",".",".",".",".",".",".",".",".",".","16.7","16.7",".","."
"Intro to Digital Video Prod","315
001","","15","3.767","80.0",".","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","","16","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","38","3.737","81.6","7.9","2.6","2.6",".","5.3",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","","17","3.813","64.7","23.5","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","360
001","","18","3.912","83.3","5.6","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","360
002","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","Course Total","","37","3.931","86.5","8.1","2.7",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"","375
001","","7","3.286","42.9",".","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
008","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","52","3.765","73.1","11.5","7.7","3.8","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"","399
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","012
399","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","399
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","15","3.730","86.7",".",".",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Advertising in Life Sciences","431
001","","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","11","4.000","72.7",".",".",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"","699
034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","4.000","78.6",".",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"Intro-Communication Thry&Rsch","720
001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concep&Design-Mass Com Rsch","806
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
