"","999
069","5","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
072","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
073","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","22","4.000","40.9",".",".",".",".",".",".","13.6",".",".","",".","22.7","18.2",".","4.5","."
"CIV ENGR
240","Dept. Total","1479","3.352","39.7","18.4","17.0","6.8","5.5","1.3","0.5","6.2","0.1",".","",".","3.6","0.5",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","24","3.577","58.3","16.7","16.7","4.2","4.2",".",".",".",".",".","",".",".",".",".",".","."
"Junior","","150","3.201","42.0","13.3","22.7","6.0","10.7","4.7",".",".",".",".","",".",".","0.7",".",".","."
"Senior","","868","3.304","38.9","22.7","20.2","9.0","6.7","1.2","0.9","0.1",".",".","",".",".","0.2",".","0.1","."
"Undergraduates","","1043","3.296","39.9","21.2","20.4","8.4","7.2","1.6","0.8","0.1",".",".","",".",".","0.3",".","0.1","."
"Special","","45","3.090","28.9","11.1","22.2","17.8","11.1","2.2",".","4.4",".",".","",".",".",".",".","2.2","."
"Graduate","","391","3.688","40.4","11.8","7.4","1.3","0.3","0.3",".","22.8","0.5",".","",".","13.6","1.3",".","0.5","."
"","Dept. Total","1479","3.352","39.7","18.4","17.0","6.8","5.5","1.3","0.5","6.2","0.1",".","",".","3.6","0.5",".","0.3","."
