"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"Spanish Civilization","Course Total","","46","3.531","34.8","43.5","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"414
Lit de la Edad Med Castellana","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"435
Cervantes","001","","21","3.452","38.1","33.3","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"446
Topics in Spanish Linguistics","001","","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"460","001","","10","3.375","40.0",".","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","20.0"
"460","002","","17","3.235","23.5","35.3","23.5","11.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","","27","3.280","29.6","22.2","25.9","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".","7.4"
"463
The Spanish American Novel","001","","21","3.167","23.8","19.0","38.1","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"468","001","","20","3.040","35.0","25.0","20.0","5.0",".","5.0","10.0",".",".",".",".",".",".",".",".","."
"468","002","","24","3.836","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"468","003","","16","3.219","31.3","18.8","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","60","3.402","50.0","20.0","16.7","5.0","3.3","1.7","3.3",".",".",".",".",".",".",".",".","."
"471
Topics in Hispanic Literature","001","","11","3.091","27.3","27.3","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"503
Survey of Medieval Lit","001","","18","3.528","33.3","38.9","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Advanced Survey-Spanish Lit","001","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"543
Spanish Phonology","001","","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"545
College Teaching of Spanish","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"716
Topics-Spanish American Lit","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Smr-Spanish American Lit","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Smr-Spanish American Lit","001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"817
Romance Philology","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"851
Cervantes Don Quijote","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"861
Seminar-Modern Spanish Lit","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"982
Smr-Latin American Area","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 311 of 402",""
