"","990
060","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
099","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","37","",".",".",".",".",".",".",".","59.5","",".",".",".","40.5",".",".",".","."
"Independent Work","999
042","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"GEOG
416","Dept. Total","1450","3.164","27.6","22.6","22.9","9.6","8.3","2.3","1.3","2.4","",".","0.2",".","1.2","1.2","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","137","3.074","18.2","27.7","24.1","14.6","11.7","1.5","0.7",".","",".",".",".",".","1.5",".",".","."
"Sophomore","","309","3.141","28.5","24.6","19.7","12.6","8.7","2.3","1.9",".","",".","0.3",".",".","1.3",".",".","."
"Junior","","337","3.106","25.8","20.2","28.2","9.5","10.4","2.1","1.5","0.3","",".","0.3",".",".","1.2",".",".","0.6"
"Senior","","482","3.165","26.8","24.3","25.5","9.1","7.7","2.9","1.0","0.8","",".",".",".","0.4","1.0","0.4",".","."
"Undergraduates","","1265","3.134","26.0","23.6","24.7","10.7","9.1","2.4","1.3","0.4","",".","0.2",".","0.2","1.2","0.2",".","0.2"
"Special","","54","2.997","25.9","13.0","20.4","5.6","7.4","3.7","3.7","13.0","",".","1.9",".",".",".",".","1.9","."
"Graduate","","131","3.670","43.5","16.8","6.9","0.8","0.8","0.8",".","17.6","",".",".",".","11.5","1.5",".",".","."
"","Dept. Total","1450","3.164","27.6","22.6","22.9","9.6","8.3","2.3","1.3","2.4","",".","0.2",".","1.2","1.2","0.1","0.1","0.1"
