"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","22","3.386","40.9","22.7","22.7","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
004","20","3.316","25.0","30.0","25.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","101
005","22","3.773","72.7","18.2","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
007","22","3.659","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","21","3.619","47.6","38.1","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","009
101","24","3.729","62.5","29.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","101
010","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
012","21","3.476","57.1","14.3","4.8","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
013","21","3.619","57.1","19.0","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
015","23","3.739","56.5","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
017","21","3.100","33.3","28.6","9.5","9.5","4.8",".","9.5",".",".",".",".",".","4.8",".",".","."
"First Semester Italian","Course Total","240","3.576","52.1","27.1","11.3","4.6","2.9","0.4","0.8","0.4",".",".",".",".","0.4",".",".","."
"","102
002","23","3.761","69.6","13.0","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","14","3.250","28.6","42.9","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","005
102","15","3.036","26.7","20.0","13.3","13.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".","."
"","102
006","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","84","3.536","51.2","25.0","11.9","4.8","3.6","2.4",".","1.2",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","15","3.633","46.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","22","3.386","40.9","31.8","13.6","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"","201
003","20","3.625","50.0","40.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","42","3.500","45.2","35.7","7.1","7.1","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","203
002","17","3.529","64.7","11.8","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","203
003","20","3.625","65.0","5.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","21","3.605","38.1","38.1","9.5","4.8",".",".",".",".",".",".",".",".","4.8",".","4.8","."
"","203
006","21","3.667","52.4","28.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
203","12","3.682","41.7","41.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","91","3.619","52.7","24.2","15.4","3.3",".",".","1.1","1.1",".",".",".",".","1.1",".","1.1","."
"Fourth Semester Italian","204
002","13","3.462","61.5","15.4","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","311
001","13","3.423","46.2","23.1","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Il Teatro Italiano","623
001","14","3.917","78.6",".","7.1",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"Lineamenti Di Lett Italiana","631
001","11","3.944","72.7","9.1",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Romance Philology","817
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","9","3.929","66.7","11.1",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","990
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
