"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","228
003","","15","3.728","46.7","40.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","228
004","","12","3.692","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
005","","13","3.570","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","78","3.548","41.0","32.1","16.7","3.8","2.6",".",".","2.6",".",".",".",".",".",".",".","1.3"
"Immigration and Expression","240
001","","15","3.600","53.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","13","3.786","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","20","3.477","30.0","50.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","271
003","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"","271
004","","10","3.152","30.0","40.0",".","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","271
005","","10","3.452","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","62","3.549","43.5","37.1","11.3","1.6","1.6","3.2",".",".",".",".",".",".",".","1.6",".","."
"Practical French Converstn","001
301","","46","3.867","87.0","4.3","2.2",".","4.3",".",".","2.2",".",".",".",".",".",".",".","."
"","311
001","","23","3.196","21.7","30.4","30.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","311
002","","15","3.500","26.7","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".","."
"Adv Composition & Conversation","Course Total","","38","3.311","23.7","36.8","23.7","7.9","2.6","2.6",".",".",".",".",".",".",".","2.6",".","."
"Prof Comm&Cultr in Franc World","313
001","","19","3.526","47.4","31.6","10.5",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","","22","3.545","18.2","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","Course Total","","33","3.485","21.2","57.6","18.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","21","3.500","52.4","28.6","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","322
002","","6","3.250","50.0","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","322
003","","20","3.550","60.0","20.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","Course Total","","47","3.489","55.3","23.4","12.8","2.1",".","2.1","4.3",".",".",".",".",".",".",".",".","."
"","347
001","","23","3.783","73.9","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","347
002","","26","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","Course Total","","49","3.776","67.3","22.4","8.2","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348
001","","12","3.417","25.0","50.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","18","3.765","66.7","11.1","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Readings in 20th & 21st C. Lit","433
001","","18","3.676","55.6","22.2","11.1","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"French/Francophone Lit Studies","461
001","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"French/Francophone Film","465
001","","18","3.667","55.6","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Phonetics","590
001","","11","3.273","27.3","54.5","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Grammaire avancee","615
001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Intro a L Ancien Francais","701
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof French Masters Prg Intern","793
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 211 of 402",""
