"","990
065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
069","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","62","",".",".",".",".",".",".",".","82.3",".",".",".","17.7",".",".",".","."
"PSYCH
820","Dept. Total","4679","3.039","32.5","13.9","18.9","11.3","15.1","3.9","1.2","1.6","0.1",".",".","0.8","0.5","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1059","2.704","16.5","13.8","18.2","18.0","23.6","7.2","2.0","0.2","0.1",".",".",".","0.2","0.1",".","0.1"
"Sophomore","","939","2.839","21.3","13.8","21.8","15.4","20.2","5.2","1.9",".",".",".",".",".","0.1","0.1",".","."
"Junior","","979","3.083","33.1","13.9","23.5","8.9","15.0","3.8","0.9","0.2","0.1",".",".","0.1","0.5",".",".","."
"Senior","","1330","3.360","45.8","16.2","17.7","7.1","8.1","1.4","0.5","0.7","0.1",".",".","1.9","0.5",".","0.1","."
"Undergraduates","","4307","3.015","30.4","14.6","20.1","12.0","16.1","4.2","1.3","0.3","0.1",".",".","0.6","0.3","0.0","0.0","0.0"
"Special","","66","3.069","36.4","6.1","16.7","6.1","10.6","3.0","4.5","7.6",".",".",".",".",".",".","9.1","."
"Graduate","","298","3.816","62.1","6.0","3.7","1.0","0.7",".",".","19.1",".",".",".","3.7","3.4","0.3",".","."
"Prof Yr 1","","5","2.607","20.0",".",".","60.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","8","3.071","50.0",".",".","37.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","4679","3.039","32.5","13.9","18.9","11.3","15.1","3.9","1.2","1.6","0.1",".",".","0.8","0.5","0.1","0.1","0.0"
