"","999
063","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
066","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
068","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
073","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","40","3.936","65.0","5.0","2.5",".",".",".",".","2.5",".",".","",".","10.0","2.5",".","12.5","."
"HISTORY
448","Dept. Total","3540","3.353","30.5","26.7","20.7","7.1","3.4","1.0","0.6","5.7","0.0","1.2","",".","1.3","1.1","0.1","0.6","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","476","3.390","31.3","35.3","21.0","7.6","2.7","0.8","0.6","0.4",".",".","",".",".","0.2",".",".","."
"Sophomore","","637","3.317","28.7","30.9","24.8","9.3","4.2","1.6",".",".",".",".","",".",".","0.2",".",".","0.3"
"Junior","","764","3.317","30.6","27.6","25.9","8.1","5.0","1.0","0.5","0.3",".",".","",".",".","0.9",".",".","."
"Senior","","1155","3.299","29.2","27.6","22.9","8.1","3.5","1.3","1.0","2.8",".",".","",".","1.3","1.9","0.1","0.2","0.1"
"Undergraduates","","3032","3.323","29.8","29.5","23.8","8.2","3.9","1.2","0.6","1.2",".",".","",".","0.5","1.0","0.0","0.1","0.1"
"Special","","132","3.244","5.3","8.3","3.0",".","0.8",".","1.5","67.4",".","0.8","",".",".","0.8","1.5","10.6","."
"Graduate","","375","3.877","44.8","10.7","1.9",".",".",".",".","20.3","0.3","10.9","",".","8.0","1.9",".","1.3","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3540","3.353","30.5","26.7","20.7","7.1","3.4","1.0","0.6","5.7","0.0","1.2","",".","1.3","1.1","0.1","0.6","0.1"
