"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","417","3.851","84.9","8.4","3.4","1.4","0.5","0.2","1.0","",".","",".",".",".","",".","",".","0.2",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","111","3.817","79.3","12.6","5.4",".","0.9","0.9","0.9","",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","119","3.891","87.4","7.6","0.8","2.5","0.8",".","0.8","",".","",".",".",".","",".","",".",".",".","."
"Junior","","83","3.803","81.9","9.6","4.8","2.4",".",".",".","",".","",".",".",".","",".","",".","1.2",".","."
"Senior","","98","3.947","92.9","4.1","2.0","1.0",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","411","3.871","85.4","8.5","3.2","1.5","0.5","0.2","0.5","",".","",".",".",".","",".","",".","0.2",".","."
"Special","","11","3.250","63.6","9.1","9.1",".",".",".","18.2","",".","",".",".",".","",".","",".",".",".","."
"Graduate","","2","3.625","50.0","50.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","College Total","424","3.851","84.7","8.7","3.3","1.4","0.5","0.2","0.9","",".","",".",".",".","",".","",".","0.2",".","."
