"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ENGLISH
350","Dept. Total","5819","3.487","36.8","25.3","16.3","4.6","2.0","0.6","0.5","1.3","0.0","10.0","0.4","1.1","0.7","0.1","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1598","3.573","39.0","23.2","13.5","3.8","0.9","0.4","0.2",".",".","17.8","0.9",".","0.4",".",".","."
"Sophomore","","1139","3.389","31.3","30.2","20.2","6.7","3.0","0.7","0.7",".",".","6.5","0.4",".","0.4",".",".","."
"Junior","","1165","3.407","35.2","28.8","23.2","5.6","2.2","0.9","1.0","0.1",".","2.5","0.1",".","0.3",".",".","0.1"
"Senior","","1246","3.481","40.9","28.9","17.6","5.0","3.0","0.6","0.6","0.6","0.1","0.6","0.1","0.4","0.8","0.2","0.2","0.6"
"Undergraduates","","5148","3.466","36.9","27.4","18.1","5.1","2.2","0.6","0.6","0.2","0.0","7.7","0.4","0.1","0.5","0.0","0.0","0.2"
"Special","","129","3.508","19.4","16.3","9.3","2.3","1.6",".",".","8.5",".","33.3","1.6",".","3.1",".","4.7","."
"Graduate","","534","3.879","40.1","8.2","0.7","0.2",".",".","0.2","10.9","0.2","25.5",".","11.0","2.2","0.2","0.6","."
"Prof Yr 4","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professionals","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","Dept. Total","5819","3.487","36.8","25.3","16.3","4.6","2.0","0.6","0.5","1.3","0.0","10.0","0.4","1.1","0.7","0.1","0.2","0.1"
