"","990
086","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
087","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
088","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","40","",".",".",".",".",".","",".","",".","87.5","",".",".",".","12.5","",".",".",".","."
"PATH
704","Dept. Total","167","3.608","28.7","4.8","10.8","0.6","1.8","",".","",".","21.6","",".","24.6","0.6","3.0","",".",".","3.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.500","50.0",".","50.0",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","13","3.658","61.5","15.4","15.4","7.7",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","12","3.443","50.0","8.3","33.3",".","8.3","",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","24","3.404","45.8","4.2","37.5",".","8.3","",".","",".",".","",".",".",".",".","",".",".","4.2","."
"Undergraduates","","51","3.483","51.0","7.8","31.4","2.0","5.9","",".","",".",".","",".",".",".",".","",".",".","2.0","."
"Special","","6","3.000",".",".","16.7",".",".","",".","",".",".","",".",".",".",".","",".",".","83.3","."
"Graduate","","111","3.882","33.3","1.8","0.9",".",".","",".","",".","30.6","",".","28.8","0.9","3.6","",".",".",".","."
"Prof Yr 2","","9","",".",".",".",".",".","",".","",".",".","",".","100.0",".",".","",".",".",".","."
"Prof Yr 3","","3","3.786","66.7","33.3",".",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","10","3.889","60.0","10.0",".",".",".","",".","",".","20.0","",".",".",".","10.0","",".",".",".","."
"Professionals","","22","3.860","36.4","9.1",".",".",".","",".","",".","9.1","",".","40.9",".","4.5","",".",".",".","."
"","Dept. Total","190","3.608","37.4","4.2","9.5","0.5","1.6","",".","",".","18.9","",".","21.6","0.5","2.6","",".",".","3.2","."
