"COMPARATIVE LITERATURE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","",""
"Intro Pre-Modern Literature","201","001","171","3.494","35.1","46.8","7.0","8.8","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"Intro Cross-Cultrl Lit Form","203","001","69","3.507","34.8","36.2","20.3","4.3","1.4",".",".","1.4",".",".",".",".",".",".",".","1.4"
"Fantasy and Science Fiction","357","001","23","3.714","56.5","21.7","8.7","4.3",".",".",".",".",".",".",".",".","8.7",".",".","."
"Literary Criticism","371","001","11","3.750","36.4","36.4",".",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"Thematics","473","001","19","3.706","47.4","31.6","10.5",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Poetics and Literary Theory","475","001","25","3.460","32.0","36.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Literary Criticism","771","001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Seminar-Genre and Mode","974","001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","990","003","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","10","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
