"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"699","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","13","3.909","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","45","3.923","73.3","13.3","2.2",".",".",".",".",".",".",".",".",".","8.9","2.2",".","."
"700
Intro to Grad Studies in Art","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Grad Intaglio Printmaking I","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"908","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"908","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Art","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"914","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","6","3.567","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"922","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"922","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"922","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"922","080","","8","3.941","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","","28","3.977","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Advanced Research-Ceramics","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"944
Adv Research-Art Metal","031","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"996","011","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"996","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","","23","3.869","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","","Page 71 of 402"
