"L&S","","","","","","","","","","","","","","","","","","","","",""
"WOMENS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","","",""
"WOMEN ST
963","Dept. Total","1195","3.513","42.6","31.5","16.0","4.7","1.8","0.6","0.9","0.7","",".",".","",".","0.1","1.0","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","124","3.402","34.7","33.1","16.9","10.5","0.8","1.6","0.8",".","",".",".","",".",".","0.8","0.8",".","."
"Sophomore","","272","3.424","34.9","32.0","23.2","4.4","3.7","0.4","0.7",".","",".",".","",".",".","0.7",".",".","."
"Junior","","320","3.558","44.1","34.1","13.1","5.3","0.9","0.3","0.6","0.3","",".",".","",".",".","1.3",".",".","."
"Senior","","428","3.546","46.7","30.1","14.5","3.3","1.6","0.7","1.2","0.9","",".",".","",".","0.2","0.5",".","0.2","."
"Undergraduates","","1144","3.505","41.9","32.0","16.4","4.9","1.8","0.6","0.9","0.4","",".",".","",".","0.1","0.8","0.1","0.1","."
"Special","","9","2.917","11.1","33.3","11.1",".",".",".","11.1","11.1","",".",".","",".",".","11.1","11.1",".","."
"Graduate","","42","3.855","69.0","16.7","4.8",".",".",".",".","4.8","",".",".","",".",".","4.8",".",".","."
"","Dept. Total","1195","3.513","42.6","31.5","16.0","4.7","1.8","0.6","0.9","0.7","",".",".","",".","0.1","1.0","0.2","0.1","."
