"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"299","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"309
Disease-Landscp Trees&Shrub","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"318
Principles-Wildlife Ecology","001","","177","2.574","13.6","15.3","17.5","16.4","19.8","15.3","1.7","0.6",".",".",".",".",".",".",".","."
"319
Ecol Prin Appl to Wildlife","001","","39","3.231","28.2","25.6","25.6","10.3","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","54","3.139","22.2","13.0","48.1","3.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"375","001","","8","3.063","25.0","12.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"375","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","18","3.198","22.2","38.9","22.2",".","5.6","5.6",".",".",".",".",".",".",".",".","5.6","."
"375","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","31","3.195","32.3","25.8","22.6","6.5","6.5","3.2",".",".",".",".",".",".",".",".","3.2","."
"399","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"401
Physiologicl Animal Ecology","001","","45","3.125","13.3","28.9","33.3","13.3","8.9",".",".",".",".",".",".",".","2.2",".",".","."
"402
Dendrology","001","","16","2.625","18.8",".","25.0","25.0","25.0",".","6.3",".",".",".",".",".",".",".",".","."
"415
Tree Physiology","001","","12","3.333","41.7","16.7","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"460
General Ecology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","19","3.421","26.3","42.1","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","60","3.110","20.0","28.3","26.7","6.7","15.0",".","1.7","1.7",".",".",".",".",".",".",".","."
"550
Forest Ecology","001","","64","3.494","59.4","12.5","14.1",".","9.4","3.1","1.6",".",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","35","3.382","31.4","31.4","22.9","2.9","8.6",".",".",".",".",".",".",".",".",".","2.9","."
"571","001","","10","3.667","40.0","40.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"571","002","","12","3.625","50.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","22","3.643","45.5","36.4","9.1","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"590
Integrated Resource Mgmt","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.808","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"749
Soc Pol&Mgmt-National Parks","001","","11","4.000","81.8",".",".",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"840
Metapopulatns&Other Adv Topics","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","","Page 24 of 402"
