"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","114","2.505","7.9","9.6","28.1","14.0","24.6","7.9","4.4","0.9",".",".",".",".","0.9","0.9",".","0.9"
"","101
002","133","2.511","14.3","9.8","24.1","12.8","21.1","13.5","4.5",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","247","2.508","11.3","9.7","25.9","13.4","22.7","10.9","4.5","0.4",".",".",".",".","0.4","0.4",".","0.4"
"","102
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
003","6","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","8","2.938",".","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
005","7","3.143","14.3","42.9","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","7","2.857",".",".","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","8","2.875","25.0","12.5",".","37.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
009","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","8","3.313",".","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
102","9","2.889",".","22.2","55.6",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","102
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
014","13","3.231","38.5","7.7","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","102
015","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
017","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
102","7","2.714","14.3",".","42.9",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"","019
102","9","2.778",".","11.1","55.6","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","102
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","142","3.183","19.0","28.9","33.1","9.2","9.2","0.7",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","43","3.058","30.2","16.3","23.3","9.3","14.0","7.0",".",".",".",".",".",".",".",".",".","."
"","151
001","115","3.022","16.5","13.9","47.0","6.1","14.8","1.7",".",".",".",".",".",".",".",".",".","."
"","151
002","120","2.849","10.0","6.7","53.3","10.0","15.0","4.2",".",".",".",".",".",".","0.8",".",".","."
"","003
151","70","2.743","7.1","10.0","40.0","15.7","24.3","2.9",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","305","2.890","11.8","10.2","47.9","9.8","17.0","3.0",".",".",".",".",".",".","0.3",".",".","."
"Introductory Biology","152
001","91","3.083","22.0","6.6","54.9","7.7","4.4","1.1","2.2",".",".",".",".",".","1.1",".",".","."
"","260
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
003","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","260
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","260
008","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research Part 1","Course Total","55","3.918","87.3","9.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","Page 167 of 402",""
