"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Introduction to Computation","202
001","91","3.294","37.4","20.9","19.8","13.2","5.5",".","2.2",".",".",".",".",".",".","1.1",".","."
"Intro to Discrete Mathematics","240
001","57","3.357","33.3","26.3","22.8","8.8","7.0",".",".",".",".",".",".",".",".",".",".","1.8"
"Digtl Society: Comptrs&Technol","250
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","252
001","33","3.212","30.3","27.3","18.2","3.0","21.2",".",".",".",".",".",".",".",".",".",".","."
"","252
003","68","3.368","27.9","25.0","44.1","1.5",".","1.5",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","101","3.317","28.7","25.7","35.6","2.0","6.9","1.0",".",".",".",".",".",".",".",".",".","."
"Directed Study in Comp Sci","298
001","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","302
001","157","2.729","22.3","11.5","17.2","17.8","19.7","4.5","5.7","0.6",".",".",".",".","0.6",".",".","."
"","302
002","100","2.870","31.0","11.0","17.0","7.0","27.0","2.0","5.0",".",".",".",".",".",".",".",".","."
"","302
003","22","2.932","22.7","9.1","18.2","31.8","18.2",".",".",".",".",".",".",".",".",".",".","."
"","302
004","29","2.982","34.5","20.7","6.9","10.3","13.8","3.4","6.9","3.4",".",".",".",".",".",".",".","."
"","302
005","30","2.917","40.0","16.7","13.3","6.7","3.3","10.0","10.0",".",".",".",".",".",".",".",".","."
"","302
007","18","2.917","22.2","16.7","22.2","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","302
008","27","2.704","18.5","25.9","11.1","18.5","11.1","3.7","11.1",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","383","2.818","26.6","13.6","15.9","14.6","18.8","3.7","6.0","0.5",".",".",".",".","0.3",".",".","."
"","310
001","62","3.315","29.0","24.2","35.5","6.5","3.2","1.6",".",".",".",".",".",".",".",".",".","."
"","002
310","49","3.184","26.5","20.4","34.7","4.1","12.2","2.0",".",".",".",".",".",".",".",".",".","."
"Prob Solvng Using Computers","Course Total","111","3.257","27.9","22.5","35.1","5.4","7.2","1.8",".",".",".",".",".",".",".",".",".","."
"","352
001","34","2.912","20.6","20.6","17.6","26.5","5.9","5.9","2.9",".",".",".",".",".",".",".",".","."
"","352
002","34","3.030","23.5","35.3","11.8","11.8",".","11.8","2.9",".",".",".",".",".",".",".",".","2.9"
"Digital System Fundamentals","Course Total","68","2.970","22.1","27.9","14.7","19.1","2.9","8.8","2.9",".",".",".",".",".",".",".",".","1.5"
"","354
001","42","3.167","45.2","9.5","26.2","4.8","2.4","7.1","4.8",".",".",".",".",".",".",".",".","."
"","354
002","48","2.809","27.1","16.7","20.8","4.2","14.6","6.3","8.3",".",".",".",".",".",".",".",".","2.1"
"Machine Organizatn&Progrmng","Course Total","90","2.978","35.6","13.3","23.3","4.4","8.9","6.7","6.7",".",".",".",".",".",".",".",".","1.1"
"","367
001","76","3.053","25.0","14.5","38.2","11.8","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","367
002","72","3.368","41.7","15.3","27.8","8.3","5.6","1.4",".",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","148","3.206","33.1","14.9","33.1","10.1","5.4","0.7","2.7",".",".",".",".",".",".",".",".","."
"","368
001","48","",".",".",".",".",".",".",".",".",".","89.6","10.4",".",".",".",".","."
"","368
002","32","",".",".",".",".",".",".",".",".",".","59.4","40.6",".",".",".",".","."
"Learn a Programming Language","Course Total","80","",".",".",".",".",".",".",".",".",".","77.5","22.5",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Intro to Numerical Methods","412
001","55","2.611","14.5","23.6","12.7","9.1","23.6","7.3","7.3",".",".",".",".",".","1.8",".",".","."
"Intro-Computational Statistics","471
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","7","3.000","28.6","28.6",".",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","11","3.591","54.5","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520
001","36","2.903","22.2","16.7","36.1","8.3","5.6","2.8","8.3",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","36","2.926","25.0","13.9","25.0","11.1","11.1","2.8","5.6",".",".",".",".",".",".",".","5.6","."
"Image Processing","533
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","39","2.961","20.5","30.8","15.4","7.7","15.4","2.6","5.1","2.6",".",".",".",".",".",".",".","."
"","537
001","51","3.351","62.7","3.9",".","17.6","9.8","3.9",".","2.0",".",".",".",".",".",".",".","."
"","537
002","55","3.326","36.4","16.4","21.8","16.4","3.6",".",".","3.6",".",".",".",".","1.8",".",".","."
"Intro to Operating Systems","Course Total","106","3.338","49.1","10.4","11.3","17.0","6.6","1.9",".","2.8",".",".",".",".","0.9",".",".","."
"Intro-Artificl Neural Ntwrk","539
001","9","2.813",".","44.4","22.2","11.1",".",".","11.1",".",".",".",".",".","11.1",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","Page 190 of 402",""
