"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Engineerng Economc Analysis","313","001","115","3.322","41.7","21.7","14.8","7.8","11.3","2.6",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","38","3.237","31.6","13.2","39.5","7.9","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"","321","002","20","3.425","40.0","20.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","321","003","18","3.028","22.2","5.6","50.0","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","38","3.237","31.6","13.2","39.5","7.9","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","75","3.093","26.7","16.0","29.3","10.7","14.7","2.7",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","48","3.213","18.8","29.2","31.3","12.5","6.3",".",".","2.1",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","39","3.615","48.7","28.2","20.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","33","3.379","33.3","39.4","15.2","6.1",".","6.1",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","35","3.559","54.3","17.1","11.4","11.4","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","53","3.915","86.8","9.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","13","3.231","30.8","7.7","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555","001","41","3.951","90.2","9.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","54","3.548","46.3","25.9","16.7","5.6",".","1.9",".","1.9",".",".",".",".",".",".",".","1.9"
"Cmptr Integratd Manufactrng","605","001","23","3.348","39.1","13.0","30.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Program Evaluation Sys","610","001","34","3.939","88.2","5.9","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Stochastic Modeling Tech","624","001","14","3.321","28.6","35.7","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","31","3.483","29.0","38.7","19.4","6.5",".",".",".","6.5",".",".",".",".",".",".",".","."
"Sociotechnical Systems","652","001","43","3.256","18.6","25.6","44.2","11.6",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","26","3.865","73.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","691","004","25","3.600","52.0","20.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","7","4.000","42.9",".",".",".",".",".",".",".",".",".",".",".","57.1",".",".","."
"","699","064","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","45","3.967","68.9","4.4","2.2",".",".",".",".","6.7",".",".",".",".","15.6",".",".","2.2"
