"","990
037","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
044","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","49","",".",".",".",".",".",".",".","71.4","",".",".",".","28.6",".",".",".","."
"F&W ECOL
396","Dept. Total","703","3.189","29.7","17.8","20.1","7.5","10.8","4.4","0.9","5.5","",".",".",".","2.1","0.9",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","60","2.615","25.0","18.3","18.3","8.3","16.7","13.3",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","65","2.529","29.2","13.8","18.5","10.8","15.4","10.8","1.5",".","",".",".",".",".",".",".",".","."
"Junior","","161","2.995","25.5","19.3","21.1","10.6","13.7","6.8","1.9",".","",".",".",".",".","1.2",".",".","."
"Senior","","304","3.254","35.2","18.8","24.0","6.3","10.9","2.3","0.7","0.7","",".",".",".","0.3","1.0",".",".","."
"Undergraduates","","590","3.088","30.8","18.3","22.0","8.1","12.7","5.6","1.0","0.3","",".",".",".","0.2","0.8",".",".","."
"Special","","11","2.714",".",".","45.5","27.3","9.1",".",".",".","",".",".",".",".",".",".","18.2","."
"Graduate","","140","3.779","44.3","12.9","4.3","1.4",".",".",".","26.4","",".",".",".","10.0","0.7",".",".","."
"","Dept. Total","741","3.189","32.9","17.0","19.0","7.2","10.3","4.5","0.8","5.3","",".",".",".","2.0","0.8",".","0.3","."
