"L&S","","","","","","","","","","","","","","","","","","","",""
"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"MUSIC
660","Dept. Total","3668","3.693","75.7","7.9","7.9","1.8","1.3","0.3","0.2","3.9","0.0",".","",".","0.1","0.6",".","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","498","3.692","76.3","10.8","10.0","1.2","0.2","0.6","0.2",".",".",".","",".",".","0.4",".","0.2","."
"Sophomore","","743","3.675","79.7","7.3","8.3","1.6","1.5","0.8",".",".",".",".","",".",".","0.5",".","0.3","."
"Junior","","806","3.655","76.6","9.4","8.6","2.1","2.4","0.1","0.1","0.2",".",".","",".",".","0.2",".",".","0.2"
"Senior","","1112","3.701","80.2","6.8","7.0","2.7","1.3",".","0.3","0.7",".",".","",".",".","0.7",".","0.1","0.1"
"Undergraduates","","3159","3.681","78.5","8.2","8.2","2.1","1.5","0.3","0.2","0.3",".",".","",".",".","0.5",".","0.1","0.1"
"Special","","135","3.394","17.8","1.5","3.0",".","0.7",".","0.7","70.4","0.7",".","",".",".","0.7",".","4.4","."
"Graduate","","394","3.794","73.6","7.1","6.3","0.5","0.5","0.3",".","9.9",".",".","",".","0.5","1.3",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","5","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3693","3.693","75.8","7.9","7.8","1.8","1.3","0.3","0.2","3.9","0.0",".","",".","0.1","0.6",".","0.3","0.1"
