"Independent Study","Course Total","8","4.000","75.0",".",".",".",".",".","",".","",".",".",".","",".",".","25.0",".",".","."
"","990
005","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
007","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"INTER-HE
498","Dept. Total","299","3.739","68.6","14.0","8.0","2.3","2.3","0.3","",".","",".","0.3",".","",".","0.3","3.3",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".",".",".",".",".","."
"Sophomore","","50","3.914","84.0","12.0","2.0",".",".",".","",".","",".",".",".","",".",".",".",".","2.0","."
"Junior","","83","3.762","69.9","13.3","8.4","1.2","2.4",".","",".","",".",".",".","",".",".","4.8",".",".","."
"Senior","","150","3.657","62.0","16.0","10.7","3.3","3.3","0.7","",".","",".",".",".","",".",".","4.0",".",".","."
"Undergraduates","","292","3.741","69.2","14.0","8.2","2.1","2.4","0.3","",".","",".",".",".","",".",".","3.4",".","0.3","."
"Special","","1","2.500",".",".",".","100.0",".",".","",".","",".",".",".","",".",".",".",".",".","."
"Graduate","","5","4.000","60.0",".",".",".",".",".","",".","",".","20.0",".","",".","20.0",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".","",".","",".",".",".","",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".","",".","",".",".",".","",".",".",".",".",".","."
"","Dept. Total","299","3.739","68.6","14.0","8.0","2.3","2.3","0.3","",".","",".","0.3",".","",".","0.3","3.3",".","0.3","."
