"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","101
001","","20","2.737","15.0",".","35.0","10.0","35.0",".",".","5.0",".",".",".",".",".",".",".","."
"","002
101","","24","3.542","66.7","8.3","8.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","23","3.045","21.7","17.4","21.7","17.4","17.4",".",".","4.3",".",".",".",".",".",".",".","."
"","005
101","","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","","18","3.412","44.4","5.6","33.3","5.6","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"1st Semester Portuguese","Course Total","","97","3.255","40.2","10.3","21.6","8.2","16.5",".",".","2.1",".",".",".",".","1.0",".",".","."
"","201
001","","11","3.091","27.3","9.1","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","19","3.500","52.6","15.8","10.5","5.3","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","","30","3.345","43.3","13.3","20.0","6.7","13.3",".",".","3.3",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","225
001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","17","3.750","64.7","11.8","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"4th Yr Compositn & Conversatn","311
001","","9","3.563","22.2","55.6","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"History of Portuguese Language","330
001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Port Lit since 1825","467
001","","11","3.600","45.5","18.2","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Seminar: Brazilian Literature","751
001","","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","899
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
