"","990
029","","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
057","","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
072","","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","","","","",""
"G L E
418","Dept. Total","","84","3.243","25.0","16.7","22.6","4.8","8.3","1.2","",".","17.9","",".",".","",".","1.2","2.4",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","8","2.841","12.5","25.0","37.5","12.5",".","12.5","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","","33","3.141","24.2","18.2","36.4","9.1","9.1",".","",".",".","",".",".","",".",".","3.0",".",".","."
"Undergraduates","","","41","3.087","22.0","19.5","36.6","9.8","7.3","2.4","",".",".","",".",".","",".",".","2.4",".",".","."
"Graduate","","","43","3.470","27.9","14.0","9.3",".","9.3",".","",".","34.9","",".",".","",".","2.3","2.3",".",".","."
"","Dept. Total","","84","3.243","25.0","16.7","22.6","4.8","8.3","1.2","",".","17.9","",".",".","",".","1.2","2.4",".",".","."
