"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","116","3.044","23.3","23.3","17.2","16.4","12.9","3.4","0.9","0.9",".",".",".",".","0.9","0.9",".","."
"215","002","","31","3.645","45.2","38.7","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","","147","3.174","27.9","26.5","17.0","12.9","10.2","2.7","0.7","0.7",".",".",".",".","0.7","0.7",".","."
"306
The Real Estate Process","001","","17","2.618","5.9","17.6","35.3","11.8","11.8","17.6",".",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","57","3.070","10.5","31.6","33.3","14.0","8.8","1.8",".",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","6","2.714","16.7","16.7","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","44","3.095","18.2","38.6","15.9","11.4","4.5","2.3","4.5","4.5",".",".",".",".",".",".",".","."
"375","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","10","3.438","30.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"399","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"419
Agricultural Finance","001","","22","3.409","45.5",".","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"462
Latin Amer Economc Develpmt","001","","16","3.767","56.3","31.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"473
Econ Grwth&Devlpmnt-SE Asia","001","","16","3.462","37.5","6.3","31.3","6.3",".",".",".",".",".",".",".",".","18.8",".",".","."
"526
Quant Mthds-Ag & Appl Econ","001","","11","3.278","27.3","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".","18.2",".",".","."
"635
Applied Microeconomic Thry","001","","18","3.235","16.7","22.2","44.4","11.1",".",".",".",".",".",".",".",".",".",".","5.6","."
"636
Applied Econometric Anal I","001","","24","3.587","37.5","37.5","20.8",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"691
Senior Thesis","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.286","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".","33.3",".",".","."
"706
Applied Risk Analysis","001","","16","3.500","50.0","37.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"731
Economics of Development 2","001","","7","4.000","14.3",".",".",".",".",".",".",".",".",".",".",".","85.7",".",".","."
"747
Economics of Food Industry","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract:Ag&Appl Econ Teaching","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"982
Smr-Latin American Area","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","","Page 1 of 402"
