"L&S","","","","","","","","","","","","","","","","","","","","",""
"LATIN AMER, CARIB & IBERIAN","","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","",""
"Elementary Quechua","361","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","440","001","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","440","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","440","003","","10","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Topics in LACIS","","Course Total","","26","3.500","38.5","3.8","11.5",".",".",".",".","7.7",".",".",".","38.5",".",".",".","."
"Senior Honors Thesis","681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"LACIS
525","","Dept. Total","","38","3.603","39.5","18.4","10.5",".",".",".",".","5.3",".",".",".","26.3",".",".",".","."
