"Prof Experience in Business","750
002","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","765
001","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","765
030","56","3.795","58.9","41.1",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","61","3.807","60.7","39.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"GEN BUS
231","Dept. Total","1637","3.409","40.1","22.7","22.6","5.8","5.5","0.8","0.5","0.4","",".","1.3","",".","",".","0.4","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.625","62.5","12.5","18.8",".","6.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","214","3.620","56.1","22.4","13.1","0.9","5.6",".","0.5",".","",".","1.4","",".","",".",".",".",".","."
"Junior","","504","3.361","40.1","18.3","26.6","6.0","6.5","1.0","0.8",".","",".","0.2","",".","",".","0.6",".",".","."
"Senior","","699","3.323","35.3","19.6","24.9","9.0","6.3","1.1","0.3","0.7","",".","2.3","",".","",".","0.3","0.1",".","."
"Undergraduates","","1433","3.385","40.4","19.5","23.7","6.6","6.3","0.9","0.5","0.3","",".","1.4","",".","",".","0.3","0.1",".","."
"Special","","6","3.375","33.3",".","16.7",".",".",".","16.7","16.7","",".",".","",".","",".","16.7",".",".","."
"Graduate","","195","3.594","37.9","46.2","15.4",".",".",".",".",".","",".","0.5","",".","",".",".",".",".","."
"Prof Yr 2","","3","3.667","33.3","66.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","3","3.667","33.3","66.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1637","3.409","40.1","22.7","22.6","5.8","5.5","0.8","0.5","0.4","",".","1.3","",".","",".","0.4","0.1",".","."
