"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","91","3.270","33.0","13.2","39.6","6.6","3.3",".","2.2",".",".",".",".",".","1.1",".",".","1.1"
"200
Biol&Apprec-Companion Anmls","001","","145","2.658","18.6","13.1","18.6","13.8","20.0","9.7","4.1","1.4",".",".",".",".",".",".",".","0.7"
"220
Grwth,Compos&Eval-Meat Anml","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","10","3.300","30.0","20.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","10","3.500","40.0","10.0","40.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"434
Reproductive Physiology","001","","63","3.387","25.4","42.9","19.0","4.8","6.3",".",".",".",".",".",".",".",".","1.6",".","."
"435
Animal Sciences Proseminar","001","","29","3.964","89.7","6.9",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"515
Commercial Meat Processing","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","035","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","28","3.945","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Muscle Biology","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
