"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","161","2.903","14.9","16.1","31.1","18.0","15.5","3.1","0.6","0.6",".","",".",".","",".","",".","",".",".","."
"","200
002","122","3.070","23.0","23.8","25.4","9.8","13.1","2.5","1.6","0.8",".","",".",".","",".","",".","",".",".","."
"International Business","Course Total","283","2.975","18.4","19.4","28.6","14.5","14.5","2.8","1.1","0.7","",".",".","",".","",".","",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intercultural Communctn in Bus","320
001","25","3.960","96.0",".","4.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Contemporary Topics","365
001","11","3.194",".","36.4","63.6",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","399
064","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","399
221","111","3.977","96.4","2.7","0.9",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Reading & Research-Intl Bus","Course Total","112","3.973","95.5","3.6","0.9",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"International Real Estate","430
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","445
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Latin Amer Economc Develpmt","462
001","12","3.542","33.3","50.0","8.3","8.3",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","745
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Contemporary Topics","765
001","7","3.700","28.6","42.9",".",".",".",".",".","14.3",".","",".",".","",".","",".","","14.3",".","."
"INTL BUS
235","Dept. Total","458","3.186","41.9","16.6","20.1","9.2","9.0","1.7","0.7","0.7","",".",".","",".","",".","",".","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","2.667","33.3",".",".",".","66.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","47","2.626","2.1","19.1","38.3","14.9","17.0","2.1","6.4",".","",".",".","",".","",".","",".",".",".","."
"Junior","","201","3.168","46.8","13.4","18.4","10.9","9.0","1.5",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","180","3.364","48.9","17.2","18.3","6.7","6.1","1.7",".","1.1","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","431","3.176","42.7","15.5","20.4","9.5","9.0","1.6","0.7","0.5","",".",".","",".","",".","",".",".",".","."
"Special","","14","3.107","35.7","14.3","21.4","7.1","14.3","7.1",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","11","3.611","18.2","63.6",".",".",".",".",".","9.1","",".",".","",".","",".","",".","9.1",".","."
"Prof Yr 2","","2","3.500","50.0",".","50.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","2","3.500","50.0",".","50.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","458","3.186","41.9","16.6","20.1","9.2","9.0","1.7","0.7","0.7","",".",".","",".","",".","",".","0.2",".","."
