"","999
067","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
076","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
090","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Indep Study & Research","Course Total","18","4.000","50.0",".",".",".",".",".",".","50.0","",".",".",".",".",".",".",".","."
"COMP SCI
266","Dept. Total","2472","3.209","31.5","16.5","17.1","7.8","7.0","2.0","2.3","8.7","",".","4.4","0.7","0.4","0.8","0.0","0.7","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","189","3.252","42.9","12.7","16.4","4.8","9.0","1.6","1.1",".","",".","11.1",".",".",".","0.5",".","."
"Sophomore","","375","2.968","27.5","15.5","21.9","10.7","10.1","1.9","4.0",".","",".","7.2","1.1",".","0.3",".",".","."
"Junior","","516","3.004","26.9","17.2","20.9","11.8","8.9","3.7","3.9",".","",".","4.7","1.0",".","0.4",".",".","0.6"
"Senior","","594","3.057","25.9","16.7","22.7","12.1","10.4","2.9","2.4","0.5","",".","3.5","1.0","0.5","1.2",".","0.2","."
"Undergraduates","","1674","3.040","28.5","16.1","21.3","10.9","9.7","2.7","3.0","0.2","",".","5.6","0.9","0.2","0.6","0.1","0.1","0.2"
"Special","","78","3.329","43.6","20.5","19.2","1.3","2.6","2.6","5.1","3.8","",".","1.3",".",".",".",".",".","."
"Graduate","","773","3.690","41.5","15.8","6.6","1.2","1.0","0.3","0.3","26.8","",".","1.8","0.4","0.9","1.3",".","2.2","."
"Prof Yr 3","","3","4.000","66.7",".",".",".",".",".",".","33.3","",".",".",".",".",".",".",".","."
"Professionals","","3","4.000","66.7",".",".",".",".",".",".","33.3","",".",".",".",".",".",".",".","."
"","Dept. Total","2528","3.209","33.0","16.1","16.7","7.6","6.8","2.0","2.3","8.5","",".","4.3","0.7","0.4","0.8","0.0","0.7","0.1"
