"","990
019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","12","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"Indep Reading & Research","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"AFRICAN
104","Dept. Total","858","3.249","33.9","16.8","21.1","11.7","10.3","0.9","1.9","2.4","0.1",".",".","0.5","0.2","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","248","3.232","32.3","19.4","18.1","16.1","10.5","0.4","2.4","0.4",".",".",".",".","0.4",".",".","."
"Sophomore","","192","3.164","32.3","14.6","21.9","10.9","15.1","3.1","2.1",".",".",".",".",".",".",".",".","."
"Junior","","182","3.201","26.9","17.6","30.8","11.5","11.5","0.5",".","1.1",".",".",".",".",".",".",".","."
"Senior","","149","3.271","37.6","15.4","20.8","11.4","7.4",".","3.4","2.0","0.7",".",".",".","0.7","0.7",".","."
"Undergraduates","","771","3.215","32.0","17.0","22.6","12.8","11.3","1.0","1.9","0.8","0.1",".",".",".","0.3","0.1",".","."
"Special","","16","3.042","25.0","6.3","6.3","6.3","6.3",".","6.3","37.5",".",".",".",".",".",".","6.3","."
"Graduate","","71","3.782","56.3","16.9","8.5",".",".",".",".","12.7",".",".",".","5.6",".",".",".","."
"","Dept. Total","858","3.249","33.9","16.8","21.1","11.7","10.3","0.9","1.9","2.4","0.1",".",".","0.5","0.2","0.1","0.1","."
