"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","118","2.923","22.0","15.3","20.3","17.8","11.0","3.4","3.4","6.8",".",".",".",".",".",".",".","."
"Renaissance to Modern Art","202","001","135","3.184","15.6","37.8","17.8","17.8","4.4","0.7","0.7","0.7",".",".",".",".","1.5","3.0",".","."
"Intro-Africn Art&Architectr","241","001","53","3.552","39.6","28.3","20.8",".",".","1.9",".","9.4",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300","001","24","3.341","29.2","29.2","16.7","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Arts in 16th Century Italy","323","001","33","3.000","3.0","30.3","21.2","12.1","12.1",".",".","18.2",".",".",".",".","3.0",".",".","."
"Pnt&Graphc-German 1350-1530","330","001","17","3.526","29.4","17.6","23.5",".",".",".",".","11.8",".",".",".",".","17.6",".",".","."
"Bosch & Holbein to Bruegel","332","001","21","3.538","38.1","19.0","19.0",".","4.8",".",".","9.5",".",".",".",".","9.5",".",".","."
"Europn Arch:Modern Movemnts","358","001","26","3.427","46.2","15.4","19.2",".","7.7","3.8",".","7.7",".",".",".",".",".",".",".","."
"Am Ind Art Histry: Contemp Iss","359","001","15","3.423","33.3","20.0","26.7",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363","001","21","3.299","42.9","9.5","38.1",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Arts of Japan","372","001","44","3.477","54.5","9.1","18.2","2.3",".",".","4.5","11.4",".",".",".",".",".",".",".","."
"Cities of Asia","379","001","39","3.132","15.4","15.4","48.7","15.4","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Topics in 19th Century Art","407","001","31","3.598","35.5","45.2","9.7","3.2",".",".",".",".",".",".",".",".","3.2",".","3.2","."
"Topics-Architecturl History","449","001","30","3.292","23.3","23.3","16.7","10.0","6.7",".",".","20.0",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","29","3.673","55.2","13.8","17.2","3.4",".",".",".","10.3",".",".",".",".",".",".",".","."
"Proseminar in Medieval Art","515","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Material Culture","563","001","12","3.682","50.0","25.0","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Proseminar in American Art","565","001","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Art History","600","002","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Museum Studies I","601","001","20","3.971","80.0","5.0",".",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"","681","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Art&Archaeolog-Ancient Greece","700","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Art History","701","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","9","4.000","55.6",".",".",".",".",".",".",".",".",".",".",".","22.2","11.1","11.1","."
"","800","002","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","800","003","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Smr:Spec Topics-Art History","","Course Total","25","3.804","64.0","24.0",".","4.0",".",".",".",".",".",".",".",".","8.0",".",".","."
