"SLAVIC (SLAVIC LANGUAGES)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","21","3.262","47.6","14.3","28.6",".",".",".","9.5",".",".",".",".",".",".",".",".","."
"","101","002","","22","3.818","77.3","18.2",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101","003","","15","3.267","53.3","6.7","13.3","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","101","004","","20","3.075","25.0","35.0","15.0",".","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101","005","","17","3.412","41.2","35.3","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"1st Semester Russian","","Course Total","","95","3.379","49.5","22.1","14.7","1.1","7.4","1.1","4.2",".",".",".",".",".",".",".",".","."
"1st Semester Polish","111","001","","16","3.750","50.0","31.3","6.3",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intensive 2nd Yr Russian","117","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intensive 2nd Yr Russian","118","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Semester Serbo-Croatian","141","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav101","181","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203","001","","8","3.143","50.0",".","12.5",".","12.5","12.5",".","12.5",".",".",".",".",".",".",".","."
"","203","002","","14","3.192","57.1","14.3",".","7.1",".",".","14.3","7.1",".",".",".",".",".",".",".","."
"","203","003","","13","3.692","76.9","7.7",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Russian","","Course Total","","35","3.379","62.9","8.6","2.9","5.7","5.7","2.9","5.7","5.7",".",".",".",".",".",".",".","."
"Third Semester Czech","217","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Semester Serbo-Croatian","251","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Russian I","275","001","","24","3.396","29.2","45.8","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Third Year Polish I","277","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Polish II","278","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav203","283","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5th Sem Intensive Polish","305","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture I","315","001","","16","3.733","62.5","18.8","6.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"","321","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","10","3.000","30.0","10.0","20.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian I","","Course Total","","17","3.324","47.1","11.8","17.6","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Polish I","331","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Intensive Serbo-Cr","341","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gogol","421","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy","424","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soviet Literature","440","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Sem Intensive Serbo-Cro","441","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Intensive Czech","451","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist lit polsk po roku 1863","472","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
