"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","46","2.700","8.7","8.7","32.6","15.2","30.4","2.2",".",".",".",".",".",".",".","2.2",".","."
"Envr St-Humanistic Perspctv","113","001","240","3.400","27.9","41.3","21.7","4.6","3.3","0.8","0.4",".",".",".",".",".",".",".",".","."
"","120","001","40","2.913","20.0","15.0","15.0","27.5","22.5",".",".",".",".",".",".",".",".",".",".","."
"","120","002","58","2.948","24.1","12.1","29.3","12.1","17.2","3.4","1.7",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","98","2.934","22.4","13.3","23.5","18.4","19.4","2.0","1.0",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","30","2.931","13.3","23.3","26.7","10.0","20.0","3.3",".","3.3",".",".",".",".",".",".",".","."
"Resources and People","139","001","43","3.209","25.6","23.3","27.9","14.0","9.3",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","11","3.778","45.5","36.4",".",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Directed Study","199","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","64","3.108","28.1","7.8","40.6","3.1","9.4","3.1","1.6","3.1",".",".",".",".","1.6","1.6",".","."
"Soils and Envrnmtl Quality","324","001","9","3.167","22.2","55.6","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","339","001","78","2.640","17.9","6.4","23.1","11.5","26.9","7.7","2.6","2.6",".",".",".",".",".","1.3",".","."
"","339","002","74","2.760","12.2","10.8","35.1","9.5","27.0","2.7","1.4","1.4",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","152","2.699","15.1","8.6","28.9","10.5","27.0","5.3","2.0","2.0",".",".",".",".",".","0.7",".","."
"Environmental Economics","343","001","10","2.618","30.0",".","40.0","10.0",".",".","20.0",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","69","2.993","18.8","11.6","46.4","1.4","18.8","2.9",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","34","3.500","47.1","26.5","11.8",".",".","2.9","2.9","5.9",".",".",".",".","2.9",".",".","."
"Field Ecology Workshop","375","001","23","3.500","26.1","52.2","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","10","3.250","30.0","30.0","30.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","35","3.147","22.9","25.7","31.4","2.9","11.4",".","2.9",".",".",".",".",".","2.9",".",".","."
"","402","001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","15","3.786","66.7","13.3","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","402","003","21","3.619","47.6","28.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","63","3.750","74.6","12.7","11.1",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Energy Resources","411","001","27","3.167","29.6","25.9","25.9","7.4","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","102","3.419","30.4","32.4","25.5","5.9","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","34","3.676","64.7","5.9","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modlng&Analysis of Envr Sys","506","001","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enivr&Hlth-Global Perspective","513","001","15","3.433","13.3","60.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Renewable Resources Policy","515","001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","12","2.667","16.7","8.3","33.3","8.3","25.0",".","8.3",".",".",".",".",".",".",".",".","."
"Air Resources Science & Policy","539","001","19","3.889","84.2",".","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","600","001","19","3.868","84.2","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","","Course Total","60","3.942","91.7","6.7",".","1.7",".",".",".",".",".",".",".",".",".",".",".","."
