"MED","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","745","2.895","32.9","13.3","24.3","2.3","12.5","7.0","2.0","5.0","",".",".","",".","0.1","0.4",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","89","2.351","12.4","6.7","25.8","3.4","29.2","13.5","6.7","1.1","",".",".","",".",".","1.1",".",".","."
"Junior","","141","2.735","27.7","2.8","34.8","3.5","15.6","12.1","2.8",".","",".",".","",".",".",".",".","0.7","."
"Senior","","167","2.917","44.9","6.6","19.8","3.0","12.0","10.8","2.4",".","",".",".","",".",".","0.6",".",".","."
"Undergraduates","","397","2.715","31.5","5.3","26.4","3.3","17.1","11.8","3.5","0.3","",".",".","",".",".","0.5",".","0.3","."
"Special","","16","3.000","18.8",".","62.5",".","6.3","6.3",".",".","",".",".","",".",".",".",".","6.3","."
"Graduate","","227","3.599","42.3","31.7","8.8","1.3","1.3",".",".","14.1","",".",".","",".","0.4",".",".",".","."
"Prof Yr 1","","100","2.909","21.0","5.0","46.0","1.0","21.0","4.0","1.0",".","",".",".","",".",".","1.0",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","4","3.500",".","25.0",".",".",".",".",".","75.0","",".",".","",".",".",".",".",".","."
"Professionals","","105","2.915","20.0","5.7","43.8","1.0","20.0","3.8","1.0","3.8","",".",".","",".",".","1.0",".",".","."
"","Dept. Total","745","2.895","32.9","13.3","24.3","2.3","12.5","7.0","2.0","5.0","",".",".","",".","0.1","0.4",".","0.3","."
