"REAL ESTATE & URBAN LAND E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306","001","119","3.282","31.9","23.5","22.7","11.8","7.6",".","0.8",".",".",".",".",".","1.7",".",".","."
"Real Estate Law","312","001","45","3.174","17.8","11.1","53.3","13.3",".",".",".",".",".",".",".",".","4.4",".",".","."
"Contemporary Topics","365","001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","410","001","45","3.300","33.3","22.2","24.4","11.1","8.9",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415","001","41","3.280","29.3","29.3","19.5","12.2","9.8",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420","001","42","3.179","14.3","35.7","31.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430","001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611","001","19","3.526","36.8","36.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710","001","20","3.450","35.0","25.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712","001","26","3.333","26.9","23.1","26.9","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Urban Economics","720","001","21","3.405","28.6","28.6","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","730","001","14","4.000","7.1",".",".",".",".",".",".",".",".",".",".",".","92.9",".",".","."
"Contemporary Topics","765","002","11","3.967","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Real Estate Finance","770","001","17","3.441","17.6","52.9","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799","142","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990","142","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","105","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","142","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng&Rsch-Real Estate PhD","","Course Total","2","***","","","","","","","","","","","","","","","",""
