"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","29","3.845","86.2","6.9",".","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","172","3.363","35.5","19.2","31.4","6.4","4.1","1.2",".",".",".",".",".",".","2.3",".",".","."
"Introduction-Social Policy","206
001","68","3.610","54.4","26.5","13.2","4.4",".",".","1.5",".",".",".",".",".",".",".",".","."
"","400
002","13","3.556","46.2","38.5",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","14","3.890","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
006","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
007","11","3.702","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","400
008","6","3.923","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","14","3.897","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","16","3.910","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
016","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
017","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
018","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
019","13","3.900","61.5","15.4",".",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"Field Pract/Integrat Smr I","Course Total","139","3.840","75.5","17.3","1.4","1.4",".",".","0.7",".",".",".",".",".","3.6",".",".","."
"Poverty and Social Welfare","420
001","24","3.652","66.7","16.7","8.3",".",".",".","4.2",".",".",".",".",".","4.2",".",".","."
"","440
001","24","3.854","79.2","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
440","24","3.604","54.2","37.5","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","440
003","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","15","3.571","33.3","40.0","20.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","440
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","440
006","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
007","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
008","23","3.804","73.9","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","140","3.801","74.3","18.6","5.0","0.7",".",".","0.7",".",".",".",".",".","0.7",".",".","."
"","441
001","111","3.674","49.5","38.7","5.4","3.6","0.9",".",".",".",".",".",".",".","1.8",".",".","."
"","441
002","16","3.531","37.5","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","441
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","140","3.684","52.9","35.0","6.4","3.6","0.7",".",".",".",".",".",".",".","1.4",".",".","."
"Family Violence","523
001","64","3.320","26.6","35.9","17.2","15.6","4.7",".",".",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","26","3.540","65.4","11.5",".","15.4",".",".","3.8",".",".",".",".",".","3.8",".",".","."
"","579
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","12","3.909","75.0","16.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","605
001","52","3.949","84.6","9.6",".",".",".",".",".",".",".",".",".",".",".",".","5.8","."
"","605
002","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
003","19","3.421","36.8","26.3","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","Course Total","96","3.833","76.0","12.5","5.2","3.1",".",".",".",".",".",".",".",".",".",".","3.1","."
"","606
001","25","3.646","40.0","44.0","12.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","606
002","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","Course Total","46","3.756","56.5","34.8","6.5",".",".",".",".",".",".",".",".",".","2.2",".",".","."
