"ATMOSPHERIC & OCEANIC SCIE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","206","2.949","17.5","14.1","28.6","23.8","7.8","3.4","1.0","3.9",".",".",".",".",".",".",".","."
"","100","002","","197","2.640","15.7","11.7","19.3","16.8","25.9","8.6","2.0",".",".",".",".",".",".",".",".","."
"Weather and Climate","","Course Total","","403","2.795","16.6","12.9","24.1","20.3","16.6","6.0","1.5","2.0",".",".",".",".",".",".",".","."
"Weather and Climate","101","001","","72","3.229","34.7","19.4","25.0","6.9","11.1","1.4","1.4",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","","48","3.083","10.4","33.3","31.3","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","","29","3.288","37.9","20.7","17.2","3.4","3.4","3.4","3.4","10.3",".",".",".",".",".",".",".","."
"Dynamics-Atmosphere&Ocean I","310","001","","14","3.393","35.7","21.4","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean I","330","001","","13","3.115","15.4","30.8","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Global Climate Processes","425","001","","13","3.231","23.1","23.1","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab I:Frontal Cyclone","452","001","","11","2.950","18.2","18.2","9.1","27.3","18.2",".",".",".",".",".",".",".",".","9.1",".","."
"Environmental Biophysics","532","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Atmospheric &Oceanic Sci","601","001","","11","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics I","610","001","","18","3.444","27.8","33.3","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronic Aids to Measmnt","623","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Atm & Ocn Physics","630","001","","19","3.579","47.4","21.1","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cloud Physics","637","001","","8","3.563","37.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Atmospheric Sys","650","001","","13","3.538","46.2","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dynamics-Moist Convectv Sys","718","001","","10","3.722","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Advanced Atmospheric Radiation","740","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Meteorology","900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Dynamics","915","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","45","",".",".",".",".",".",".",".","75.6",".",".",".","24.4",".",".",".","."
