"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","","",""
"","699
032","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
034","5","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","6","4.000","83.3",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","16.7","."
"Integrated Cardiovascular Sys","706
001","165","3.433","30.3","32.7","30.3","6.7",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Integrated Respiratory System","715
001","166","3.612","58.4","15.1","16.3","9.0","0.6",".","",".",".",".","",".",".","",".","",".","",".","0.6","."
"Integrated Dermatology","724
001","168","3.333","33.3","21.4","32.7","8.3","3.0",".","","1.2",".",".","",".",".","",".","",".","",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","23","",".",".",".",".",".",".","",".",".",".","","100.0",".","",".","",".","",".",".","."
"Foundations of Medicine 1","751
001","168","3.440","31.5","31.5","29.2","5.4","1.2",".","",".",".",".","",".",".","",".","",".","",".","1.2","."
"Foundations of Medicine 2","755
001","169","3.417","32.5","32.0","20.7","14.2",".",".","",".",".",".","",".",".","",".","",".","",".",".","0.6"
"Patient, Doctor & Society 1","800
001","172","",".",".",".",".",".",".","",".","97.1",".","",".",".","",".","",".","",".",".","2.9"
"MED SC-M
622","Dept. Total","1037","3.475","30.5","21.4","20.8","7.0","0.8","",".","0.2","16.1","",".","2.2","",".","",".","",".",".","0.4","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","3","",".",".",".",".",".","",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Undergraduates","","3","",".",".",".",".",".","",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 1","","192","3.367","0.5","2.6","2.1",".",".","",".",".","84.9","",".","7.3","",".","",".","",".",".",".","2.6"
"Prof Yr 2","","828","3.477","37.9","25.5","25.2","8.8","1.0","",".","0.2","0.5","",".","0.4","",".","",".","",".",".","0.4","0.1"
"Prof Yr 3","","12","3.433","8.3","50.0","25.0",".",".","",".",".",".","",".","8.3","",".","",".","",".",".","8.3","."
"Prof Yr 4","","2","",".",".",".",".",".","",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Professionals","","1034","3.475","30.6","21.5","20.9","7.1","0.8","",".","0.2","16.2","",".","1.9","",".","",".","",".",".","0.4","0.6"
"","Dept. Total","1037","3.475","30.5","21.4","20.8","7.0","0.8","",".","0.2","16.1","",".","2.2","",".","",".","",".",".","0.4","0.6"
