"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","","48","3.755","62.5","25.0","8.3","2.1",".",".",".",".",".",".",".",".",".",".","2.1","."
"19&20 C Russian Lit Tran I","203","001","","63","3.573","55.6","23.8","7.9","3.2","6.3","1.6",".",".",".",".",".",".",".",".","1.6","."
"Masterpieces-Fr Lit & Culture","209","001","","20","3.605","40.0","35.0","20.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Lits of Cent Asia in Translatn","214","001","","16","3.600","43.8","25.0","25.0",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Gogol in Translation","221","001","","23","3.750","56.5","30.4","8.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224","001","","21","3.000","23.8","28.6","14.3","9.5","9.5","4.8","4.8",".",".",".",".",".",".",".","4.8","."
"Intro-Luso-Afro-Brazilian Lit","226","001","","17","3.469","35.3","17.6","41.2",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Intro to Biblical Lit","227","001","","28","3.393","42.9","14.3","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","","26","3.616","42.3","34.6","7.7","3.8","3.8",".",".","7.7",".",".",".",".",".",".",".","."
"The World of Sagas","235","001","","19","3.842","78.9","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240","001","","27","3.200","25.9","22.2","25.9","7.4","7.4","3.7",".","3.7",".",".",".",".",".","3.7",".","."
"Topics-Slavic Lit in Translatn","247","001","","11","3.364","63.6","9.1","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","001","","99","3.750","54.5","33.3","7.1",".",".",".",".",".",".",".",".",".","3.0","2.0",".","."
"Chinese Lit in Translation","261","002","","24","3.167","29.2","29.2","20.8","4.2","12.5",".","4.2",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","","31","3.000","22.6","29.0","9.7","9.7","22.6",".","3.2","3.2",".",".",".",".",".",".",".","."
"","271","001","","35","3.235","17.1","34.3","25.7","17.1","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"","271","002","","68","3.493","38.2","36.8","14.7","7.4",".",".","1.5",".",".",".",".",".","1.5",".",".","."
"Scand LitTran:Mid Ages-1900","","Course Total","","103","3.422","31.1","35.9","18.4","10.7","1.0",".","1.0","1.0",".",".",".",".","1.0",".",".","."
"","275","001","","134","3.466","23.1","52.2","20.1","1.5","2.2",".",".","0.7",".",".",".",".",".",".",".","."
"","275","002","","72","3.632","51.4","34.7","11.1",".","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","206","3.536","33.0","46.1","17.0","1.0","1.9",".","0.5","0.5",".",".",".",".",".",".",".","."
"Topics-20c German Lit(in Tran)","277","002","","17","3.059","23.5","11.8","29.4","23.5","11.8",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","303","001","","21","3.389","38.1","14.3","19.0","4.8","9.5",".",".",".",".",".",".",".","9.5",".",".","4.8"
"Topics in Dutch Lit in Tran","326","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337","001","","33","3.367","30.3","30.3","24.2","3.0",".",".","3.0","9.1",".",".",".",".",".",".",".","."
"Kalevala&Finn Folklr-Transl","347","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Korean Literature","374","001","","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","001","","18","3.763","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
