"MILITARY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"","101
001","","23","3.870","82.6","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","22","3.773","72.7","18.2","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","15","3.833","86.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","25","3.280","60.0","16.0",".","8.0","4.0","4.0","8.0",".",".",".",".",".",".",".",".","."
"Foundations of Officership","Course Total","","85","3.665","74.1","11.8","4.7","3.5","2.4","1.2","2.4",".",".",".",".",".",".",".",".","."
"Leadership Lab 1A","110
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Leadership Studies","Course Total","","58","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Lab 2A","210
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Problem Solving","301
001","","22","3.568","63.6","18.2","9.1","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"Leadership Lab 3A","310
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Management","401
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Lab 4A","410
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Military History","491
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"MIL SCI
644","Dept. Total","","237","3.844","85.2","7.6","3.0","1.7","0.8","0.4","1.3",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","74","3.811","79.7","12.2","4.1",".","1.4","1.4","1.4",".",".",".",".",".",".",".",".","."
"Sophomore","","","78","3.872","85.9","6.4","1.3","3.8","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Junior","","","44","3.845","86.4","6.8","4.5","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","227","3.869","85.9","7.5","2.6","1.8","0.9","0.4","0.9",".",".",".",".",".",".",".",".","."
"Special","","","10","3.421","70.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","Dept. Total","","237","3.844","85.2","7.6","3.0","1.7","0.8","0.4","1.3",".",".",".",".",".",".",".",".","."
