"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Ethnic and Racial Groups","640
001","85","3.835","84.7","8.2","2.4","3.5",".",".","1.2",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","644
001","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","646
001","16","3.394","31.3","18.8","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
646","23","3.765","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
003","20","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
004","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","Course Total","76","3.681","53.9","26.3","18.4","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Understandng Latino Fam & Comm","657
001","16","3.800","56.3","37.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Topics-Contemp Soc Welfare","672
001","22","3.795","77.3","9.1","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","675
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","679
001","24","3.717","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","12","3.603","58.3","16.7",".",".",".","8.3",".",".",".",".",".",".","16.7",".",".","."
"Human Behavior & Environmnt","711
001","52","3.538","34.6","42.3","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
002","17","3.471","23.5","47.1","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","34","3.735","61.8","23.5","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
001","24","3.875","83.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
003","20","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
004","21","3.725","47.6","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"Interventn-Chldrn, Youth, Fam","Course Total","79","3.801","63.3","32.9","1.3","1.3",".",".",".",".",".",".",".",".",".",".","1.3","."
"Assess&Treat Chld&Adolescnt","742
001","20","3.475","15.0","65.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
001","16","3.875","56.3","18.8",".",".",".",".",".",".",".",".",".",".","18.8",".","6.3","."
"","800
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
003","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
012","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
013","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
014","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
015","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
021","13","3.800","46.2","30.8",".",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"","800
022","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","800
023","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","800
024","9","3.643","44.4","11.1","22.2",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","800
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","127","3.904","74.8","13.4","2.4",".",".",".",".",".",".",".",".",".","7.9",".","1.6","."
