"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","378","2.867","18.3","18.0","18.5","20.4","18.0","4.5","1.1","0.3","0.3",".",".",".","0.3","0.3",".","0.3"
"","101
002","390","2.781","16.7","16.2","19.5","22.3","17.7","3.8","3.3",".",".",".",".",".","0.5",".",".","."
"","101
003","327","3.038","19.3","25.4","29.4","11.0","9.5","2.4","2.8",".",".",".",".",".",".","0.3",".","."
"","004
101","387","3.194","11.4","37.7","32.6","14.7","2.1","0.8",".","0.5",".",".",".",".","0.3",".",".","."
"Principles-Microeconomics","Course Total","1482","2.968","16.3","24.3","24.8","17.3","11.9","2.9","1.8","0.2","0.1",".",".",".","0.3","0.1",".","0.1"
"","102
001","279","2.799","6.1","20.8","26.9","30.1","10.4","5.0","0.4","0.4",".",".",".",".",".",".",".","."
"","102
002","251","3.006","14.3","23.1","31.9","17.1","10.4","2.0","0.8","0.4",".",".",".",".",".",".",".","."
"","102
003","205","2.894","5.9","26.8","32.2","20.5","8.3","4.9","0.5",".",".",".",".",".","1.0",".",".","."
"Principles-Macroeconomics","Course Total","735","2.896","8.8","23.3","30.1","23.0","9.8","3.9","0.5","0.3",".",".",".",".","0.3",".",".","."
"Prin/Econ-Accelratd Treatmt","111
001","36","3.338","33.3","22.2","19.4","13.9","5.6",".",".","2.8",".",".",".",".",".","2.8",".","."
"Internship Economics","228
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","23","2.609","4.3","4.3","43.5","21.7","21.7",".","4.3",".",".",".",".",".",".",".",".","."
"","300
002","22","2.905","9.1",".","59.1","18.2","9.1",".",".",".",".",".",".",".","4.5",".",".","."
"Introduction to Finance","Course Total","45","2.750","6.7","2.2","51.1","20.0","15.6",".","2.2",".",".",".",".",".","2.2",".",".","."
"","301
001","175","3.126","28.6","21.1","22.3","13.1","10.9","1.1","2.3","0.6",".",".",".",".",".",".",".","."
"","002
301","140","2.741","11.4","15.0","27.9","22.1","14.3","6.4","2.1",".",".",".",".",".","0.7",".",".","."
"Intmed Microeconomic Theory","Course Total","315","2.955","21.0","18.4","24.8","17.1","12.4","3.5","2.2","0.3",".",".",".",".","0.3",".",".","."
"","302
001","105","2.519","15.2","9.5","24.8","9.5","23.8","9.5","6.7","1.0",".",".",".",".",".",".",".","."
"","302
002","177","2.808","14.7","22.0","19.8","20.9","12.4","8.5","1.7",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","282","2.701","14.9","17.4","21.6","16.7","16.7","8.9","3.5","0.4",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","99","2.698","10.1","13.1","25.3","17.2","25.3","6.1",".","1.0",".",".",".",".","2.0",".",".","."
"Stats:Measrmnt in Economics","310
001","94","3.128","8.5","44.7","19.1","23.4","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Adv Treatment","311
001","23","3.413","30.4","39.1","13.0","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","5","***","","","","","","","","","","","","","","","",""
"","325
001","16","3.563","62.5",".","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","325
002","14","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Utilities","Course Total","30","3.533","56.7",".","40.0",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","187","2.934","12.3","24.1","21.9","24.1","10.2","4.3",".","2.7",".",".",".",".","0.5",".",".","."
"Environmental Economics","343
001","15","2.861","26.7","6.7","33.3","13.3",".","6.7","6.7","6.7",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","34","3.059","20.6","17.6","29.4","17.6","14.7",".",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","54","3.019","20.4","20.4","29.6","16.7","7.4","3.7","1.9",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","8","3.188","12.5","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","52","2.913","17.3","17.3","25.0","23.1","11.5","5.8",".",".",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458
001","41","3.220","22.0","39.0","19.5",".","19.5",".",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462
001","21","3.676","42.9","23.8","14.3",".",".",".",".",".",".",".",".",".","19.0",".",".","."
"Internatl Trade & Finance","464
001","140","2.946","20.0","15.0","32.1","12.9","15.7","2.1","2.1",".",".",".",".",".",".",".",".","."
"Intl Industrial Organizations","467
001","109","3.005","19.3","16.5","33.0","17.4","8.3","0.9","2.8",".",".",".",".",".","1.8",".",".","."
"Indus Organizat/Imperf Comp","468
001","56","2.795","21.4","16.1","19.6","17.9","14.3","5.4","5.4",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473
001","17","3.300","11.8","41.2","23.5","11.8",".",".",".",".",".",".",".",".","11.8",".",".","."
