"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","6504","3.003","24.6","13.8","26.5","8.4","15.3","3.5","1.4","4.8","0.0",".","",".","1.2","0.2","0.0","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1928","3.040","25.7","15.1","30.1","10.2","13.7","3.5","1.4",".",".",".","",".",".","0.2",".",".","0.1"
"Sophomore","","1754","2.965","25.5","12.8","26.4","7.5","21.3","4.9","1.2","0.1","0.1",".","",".",".","0.2",".",".","0.1"
"Junior","","1070","2.859","20.1","13.9","29.4","10.4","20.7","3.6","1.7","0.1",".",".","",".",".","0.1",".",".","."
"Senior","","958","2.990","29.0","13.9","27.1","9.0","12.9","3.1","2.4","0.3",".",".","",".","1.7","0.2","0.1","0.2","."
"Undergraduates","","5710","2.981","25.1","14.0","28.4","9.2","17.2","3.9","1.6","0.1","0.0",".","",".","0.3","0.2","0.0","0.0","0.1"
"Special","","65","3.128","27.7","13.8","38.5","6.2","9.2","3.1","1.5",".",".",".","",".",".",".",".",".","."
"Graduate","","936","3.468","33.2","9.8","8.5","2.0","0.4",".","0.1","37.1","0.1",".","",".","6.8","0.2",".","1.4","0.2"
"Prof Yr 2","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".","",".",".",".",".",".","."
"Prof Yr 4","","2","",".",".",".",".",".",".",".",".",".",".","",".","50.0",".",".","50.0","."
"Professionals","","5","4.000","20.0",".",".",".",".",".",".","40.0",".",".","",".","20.0",".",".","20.0","."
"","Dept. Total","6716","3.003","26.3","13.4","25.7","8.2","14.8","3.4","1.4","5.3","0.0",".","",".","1.2","0.2","0.0","0.2","0.1"
