"CONSUMER SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","",""
"Retail Leadership Symposium","250","001","","75","3.873","86.7","5.3","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","275","001","","55","3.000","16.4","20.0","27.3","23.6","10.9","1.8",".",".",".",".",".",".",".",".",".","."
"","275","002","","68","3.471","39.7","26.5","25.0","5.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","","Course Total","","123","3.260","29.3","23.6","26.0","13.8","6.5","0.8",".",".",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350","001","","68","3.956","95.6",".","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","","38","3.250","21.1","28.9","34.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470","001","","38","2.868","5.3","18.4","36.8","23.7","15.8",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475","001","","31","3.145","35.5","16.1","16.1","19.4","9.7",".","3.2",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","","60","3.358","18.3","45.0","26.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","18","3.353","27.8","33.3","22.2",".","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"","501","008","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","45","3.593","71.1","13.3","8.9",".","4.4",".",".",".",".",".",".",".","2.2",".",".","."
"Prep for Retailng Internshp","503","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","532","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","002","","22","3.477","36.4","27.3","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","","Course Total","","27","3.556","44.4","25.9","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Direct Retailing","561","002","","40","3.675","65.0","27.5",".","2.5","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"International Retailing","562","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","","30","3.233","13.3","53.3","16.7","6.7","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","","15","3.775","80.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Finance","627","001","","19","3.026","15.8","31.6","26.3","5.3","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657","001","","56","3.527","33.9","39.3","25.0","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665","001","","21","3.524","38.1","38.1","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Consumer Research","960","001","","8","3.882","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Independent Study","999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
