"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Design of Machine Elements","Course Total","83","2.849","14.5","19.3","30.1","10.8","18.1","6.0","1.2",".",".",".",".",".",".",".",".","."
"","349
002","9","2.889",".",".","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","349
003","19","3.184","15.8","36.8","26.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","349
004","15","3.333","13.3","46.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","16","3.344",".","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","59","3.220","8.5","42.4","39.0","5.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"","351
001","8","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","9","3.611","77.8","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","17","3.559","41.2","52.9",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","352
001","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","42","2.810","16.7","14.3","28.6","19.0","9.5","11.9",".",".",".",".",".",".",".",".",".","."
"","361
002","46","2.837","21.7","15.2","19.6","17.4","17.4","6.5","2.2",".",".",".",".",".",".",".",".","."
"","361
003","41","2.805","12.2","22.0","22.0","26.8","9.8","2.4","4.9",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","129","2.818","17.1","17.1","23.3","20.9","12.4","7.0","2.3",".",".",".",".",".",".",".",".","."
"","363
001","58","2.957","19.0","15.5","29.3","17.2","17.2",".","1.7",".",".",".",".",".",".",".",".","."
"","363
002","55","2.873","18.2","18.2","20.0","21.8","16.4","3.6","1.8",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","113","2.916","18.6","16.8","24.8","19.5","16.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"","364
001","54","3.389","31.5","24.1","37.0","5.6","1.9",".",".",".",".",".",".",".",".",".",".","."
"","002
364","45","2.716","15.6","15.6","24.4","8.9","22.2","8.9","2.2",".",".",".",".",".",".",".","2.2","."
"Elementary Heat Transfer","Course Total","99","3.087","24.2","20.2","31.3","7.1","11.1","4.0","1.0",".",".",".",".",".",".",".","1.0","."
"Engr Measure & Instrumentation","368
001","83","3.102","13.3","21.7","42.2","18.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","81","2.840","13.6","12.3","28.4","19.8","25.9",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
001","15","3.567","53.3","6.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","17","3.567","47.1","5.9","35.3",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","418
001","42","3.726","54.8","35.7","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","46","3.739","56.5","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","419
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","9","3.500","22.2","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","7","3.000","28.6","28.6",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".","."
"Metal Cutting","429
001","33","3.833","69.7","27.3","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Vibrations","440
001","23","3.717","56.5","30.4","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","33","2.667","30.3","18.2","12.1","6.1","9.1","12.1","12.1",".",".",".",".",".",".",".",".","."
"","446
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","39","2.724","25.6","20.5","15.4","7.7","7.7","10.3","10.3",".",".",".",".",".","2.6",".",".","."
"Comptr Cntrl-Machns&Process","447
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
