"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"271
Engr Problem Solving I","001","","32","3.000","12.5","15.6","37.5","21.9","9.4",".",".",".",".",".",".",".",".","3.1",".","."
"305
Fundamentals-Nuclear Engr","001","","40","3.313","25.0","32.5","22.5","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","21","3.190","19.0","23.8","42.9","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","31","3.242","22.6","25.8","38.7","9.7",".","3.2",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","17","3.059","11.8","11.8","58.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","11","3.045","36.4","9.1","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","33","3.141","30.3","15.2","24.2","18.2","6.1",".","3.0",".",".",".",".",".","3.0",".",".","."
"602
Special Topics-Reactor Engr","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"705
Advanced Reactor Theory","001","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","17","",".",".",".",".",".",".",".","41.2",".",".",".","58.8",".",".",".","."
"890","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","37","",".",".",".",".",".",".",".","59.5",".",".",".","40.5",".",".",".","."
"922
Seminar in Plasma Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
