"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","346","3.538","35.0","46.0","12.1","4.0","1.4","0.6",".","0.6",".",".",".",".","0.3",".",".","."
"","310
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","002
310","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","310
003","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
005","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
008","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
009","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
011","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","131","",".",".",".",".",".",".",".",".",".","98.5","1.5",".",".",".",".","."
"","320
002","11","3.591","18.2","81.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","Course Total","38","3.786","60.5","39.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374
001","36","3.431","19.4","52.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-International Studies","620
001","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"INTL ST
504","Dept. Total","564","3.550","27.8","35.1","9.2","2.8","0.9","0.4",".","0.4",".","22.9","0.4",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","140","3.568","22.9","29.3","7.9","2.1","0.7",".",".","0.7",".","35.0","0.7",".","0.7",".",".","."
"Sophomore","","156","3.527","30.1","34.0","9.0","1.9","1.9","1.3",".",".",".","21.2","0.6",".",".",".",".","."
"Junior","","156","3.600","33.3","37.8","9.0","2.6","0.6",".",".",".",".","16.7",".",".",".",".",".","."
"Senior","","96","3.493","27.1","43.8","12.5","6.3",".",".",".",".",".","10.4",".",".",".",".",".","."
"Undergraduates","","548","3.552","28.6","35.6","9.3","2.9","0.9","0.4",".","0.2",".","21.5","0.4",".","0.2",".",".","."
"Special","","15","3.375",".","20.0","6.7",".",".",".",".","6.7",".","66.7",".",".",".",".",".","."
"Graduate","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","Dept. Total","564","3.550","27.8","35.1","9.2","2.8","0.9","0.4",".","0.4",".","22.9","0.4",".","0.2",".",".","."
