"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","61","3.474","32.8","39.3","18.0","1.6","1.6",".","1.6","3.3",".",".",".",".","1.6",".",".","."
"Intro-Mus Cult of the World","103
001","24","3.065","16.7","41.7","16.7","4.2","8.3","4.2","4.2","4.2",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","57","2.684","10.5","14.0","28.1","21.1","19.3","1.8","5.3",".",".",".",".",".",".",".",".","."
"Intro to Turkish Folk Lit","279
001","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kalevala&Finn Folklr-Transl","347
001","17","3.813","58.8","35.3",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Foodways","439
001","25","3.563","40.0","32.0","20.0","4.0",".",".",".",".",".",".",".",".",".","4.0",".","."
"Fld Mthd&Pub Presntn-Folklr","490
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Scottish Tradition","518
001","8","3.125","37.5","25.0",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".","."
"Topics in Folklore","530
001","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Seminar-American Folklore","630
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative World Dress","655
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","236","3.339","35.2","29.2","15.7","7.2","6.4","1.3","2.1","1.3",".",".",".",".","1.3","0.4",".","."
