"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"702
Grad Cooperative Educ Program","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"703
Qual-Hlth Care:Eval&Assurnc","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"720
Integer Programming","001","","22","3.405","36.4","22.7","31.8",".",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"727
Convex Analysis","001","","7","3.875","42.9","14.3",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"790","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","064","","7","",".",".",".",".",".",".",".","28.6",".",".",".",".","71.4",".",".","."
"Master's Research & Thesis","Course Total","","14","",".",".",".",".",".",".",".","57.1",".",".",".",".","42.9",".",".","."
"859
Topics-Human Factors Engr","001","","15","3.833","60.0","13.3","6.7",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"890","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","33","",".",".",".",".",".",".",".","78.8",".",".",".","15.2",".","3.0",".","3.0"
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","11","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
