"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","603
001","45","3.667","51.1","31.1","17.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","44","3.605","40.9","36.4","20.5",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","89","3.636","46.1","33.7","19.1",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"","620
001","34","3.303","29.4","23.5","29.4","5.9","8.8",".",".","2.9",".",".",".",".",".",".",".","."
"","002
620","47","3.200","27.7","14.9","31.9","10.6","10.6",".",".",".",".",".",".",".","4.3",".",".","."
"Fundamentals of Taxation","Course Total","81","3.244","28.4","18.5","30.9","8.6","9.9",".",".","1.2",".",".",".",".","2.5",".",".","."
"","621
001","33","3.379","27.3","39.4","24.2","6.1",".","3.0",".",".",".",".",".",".",".",".",".","."
"","621
002","47","3.330","25.5","38.3","21.3","10.6","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","80","3.350","26.3","38.8","22.5","8.8","1.3","2.5",".",".",".",".",".",".",".",".",".","."
"","630
001","40","2.731","17.5","10.0","27.5","17.5","15.0","5.0","5.0",".",".",".",".",".","2.5",".",".","."
"","630
002","41","3.220","22.0","26.8","26.8","22.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"","630
003","47","3.574","48.9","19.1","29.8","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","128","3.201","30.5","18.8","28.1","13.3","5.5","1.6","1.6",".",".",".",".",".","0.8",".",".","."
"","700
001","60","3.525","25.0","55.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","58","3.491","15.5","67.2","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","56","3.589","37.5","42.9","19.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","174","3.534","25.9","55.2","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
004","12","3.375","41.7","25.0","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","706
001","10","3.200","30.0","10.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","706
002","31","3.532","38.7","45.2","6.5","3.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","41","3.451","36.6","36.6","14.6","4.9","7.3",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
001","51","3.716","64.7","17.6","13.7","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","28","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","40","3.863","82.5","10.0","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","68","3.846","75.0","20.6","2.9","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","3","***","","","","","","","","","","","","","","","",""
"Readng & Rsch-Accountng PhD","999
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
