"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Communication","Course Total","266","3.434","27.4","42.5","23.3","5.3","0.8","0.4","0.4",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Junior Independent Study","399
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Applicatns of Statistics","416
001","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","430
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","430
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","Course Total","7","4.000","42.9",".",".",".",".",".",".",".",".",".",".",".","57.1",".",".","."
"Technical Editing","497
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","530
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","30","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Fluid Dynamics","625
001","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","Course Total","3","***","","","","","","","","","","","","","","","",""
"Teaching in Science & Engr","654
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
002","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
005","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
007","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
008","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
690","24","3.354","66.7","4.2","8.3","8.3","4.2",".","8.3",".",".",".",".",".",".",".",".","."
"","690
013","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","101","3.859","84.2","7.9","3.0","2.0","1.0",".","2.0",".",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
