"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","229","2.936","12.7","14.0","45.0","10.9","13.1","1.7","1.3","0.9","0.4",".",".",".",".",".",".","."
"","002
300","189","2.888","13.2","10.6","45.5","11.6","15.3","1.1","2.1","0.5",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","418","2.914","12.9","12.4","45.2","11.2","14.1","1.4","1.7","0.7","0.2",".",".",".",".",".",".","."
"","305
001","42","3.179","28.6","2.4","47.6","2.4","11.9",".",".","2.4",".",".",".",".","4.8",".",".","."
"","305
002","50","2.990","22.0","8.0","40.0","2.0","22.0","2.0",".","2.0",".",".",".",".",".","2.0",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","92","3.075","25.0","5.4","43.5","2.2","17.4","1.1",".","2.2",".",".",".",".","2.2","1.1",".","."
"","320
001","60","3.225","21.7","18.3","46.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"","320
002","58","3.202","29.3","8.6","36.2","20.7","3.4",".",".",".",".",".",".",".","1.7",".",".","."
"","320
003","32","3.141","18.8","21.9","46.9","6.3","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","150","3.198","24.0","15.3","42.7","13.3","3.3",".","0.7",".",".",".",".",".","0.7",".",".","."
"","325
001","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","36","3.250","11.1","50.0","33.3",".","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"","325
003","33","3.470","18.2","57.6","24.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","84","3.375","16.7","51.2","29.8",".","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"","330
001","25","2.792","8.0","24.0","28.0","16.0","12.0","4.0","4.0","4.0",".",".",".",".",".",".",".","."
"","330
002","35","3.300","28.6","20.0","37.1","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"","330
003","33","3.470","33.3","36.4","21.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","330
004","42","3.427","31.0","38.1","23.8","2.4",".",".","2.4",".",".",".",".",".","2.4",".",".","."
"Derivative Securities","Course Total","135","3.289","26.7","30.4","27.4","8.9","3.0","0.7","1.5","0.7",".",".",".",".","0.7",".",".","."
"","365
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","60","3.883","76.7","23.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","410
001","71","3.379","26.8","33.8","25.4","12.7",".",".",".","1.4",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","21","3.190","33.3",".","52.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","700
001","60","3.558","36.7","41.7","18.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","58","3.412","20.7","43.1","31.0","3.4",".",".",".",".",".",".",".",".","1.7",".",".","."
"Intro to Financial Mgmnt","Course Total","118","3.487","28.8","42.4","24.6","3.4",".",".",".",".",".",".",".",".","0.8",".",".","."
"Investment Theory&Practice","720
001","21","3.452","33.3","23.8","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","745
001","28","3.429","28.6","42.9","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","745
030","58","2.879","12.1","15.5","22.4","36.2","13.8",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","Course Total","86","3.058","17.4","24.4","22.1","24.4","11.6",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
001","28","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","757
001","28","3.815","60.7","35.7",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","765
001","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","31","3.903","87.1","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Derivative Securities","830
001","9","3.500",".","88.9",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
